key,tr
"accountModal.defaultDomain","Varsayılan domain"
"accountModal.displayName","Görünen ad"
"accountModal.editable","Değiştirilebilir"
"accountModal.email","E-posta"
"accountModal.emailChange","E-posta değişimi"
"accountModal.emailVerifyNote","E-posta değişikliği doğrulama kodu gerektirir."
"accountModal.expiring","Süresi dolan adresler"
"accountModal.expiringDesc","Kapanacak adresler için hatırlatma al."
"accountModal.favoriteAddress","Favori adres"
"accountModal.favoriteDomains","Favori domainler"
"accountModal.generalSubtitle","Popup içinde sık kullanılan ayarları hızlıca değiştir."
"accountModal.generalTitle","Görünüm ve varsayılanlar"
"accountModal.language","Dil"
"accountModal.lastActive","Son aktif"
"accountModal.limitsTitle","Kullanım ve Plan"
"accountModal.locked","Kilitli"
"accountModal.loginFail","Başarısız"
"accountModal.loginHistory","Giriş geçmişi"
"accountModal.loginSuccess","Başarılı"
"accountModal.mailCount","Mail sayısı"
"accountModal.mailRetention","Mail saklama süresi"
"accountModal.newMail","Yeni mail bildirimi"
"accountModal.newMailDesc","Yeni mesaj geldiğinde bildirim ver."
"accountModal.newPassword","Yeni şifre"
"accountModal.newPasswordRepeat","Yeni şifre tekrar"
"accountModal.noDomains","Domain yok."
"accountModal.noLoginHistory","Giriş geçmişi bulunmuyor."
"accountModal.noSessions","Aktif oturum bulunmuyor."
"accountModal.notificationPrefs","Bildirim tercihleri"
"accountModal.notificationSound","Bildirim sesi"
"accountModal.notifications","Bildirim tercihleri"
"accountModal.otp","OTP bildirimi"
"accountModal.otpNotification","OTP bildirimi"
"accountModal.otpNotificationDesc","Tek kullanımlık kodlar için özel uyarı göster."
"accountModal.packageLimits","Limitler paket bazlı gösterilir."
"accountModal.pendingEmail","Bekleyen e-posta"
"accountModal.planTitle","Plan"
"accountModal.preview","Önizle"
"accountModal.profilePhoto","Fotoğraf yükle"
"accountModal.profileSave","Profili kaydet"
"accountModal.profileTitle","Hesap bilgileri"
"accountModal.quickSave","Kaydet"
"accountModal.quickStatus","Hızlı durum"
"accountModal.quotaUsed","adres kotası kullanıldı"
"accountModal.ready","Hazır"
"accountModal.refresh","Yenile"
"accountModal.reset","Sıfırla"
"accountModal.retention","Mail Saklama Süresi"
"accountModal.retentionAndSound","Saklama ve ses"
"accountModal.securityAlerts","Güvenlik uyarıları"
"accountModal.securityAlertsDesc","Şüpheli girişler için haber ver."
"accountModal.securityStatus","Güvenlik durumu"
"accountModal.selectOption","Seçiniz"
"accountModal.sessionsCloseNote","sekmesinden girişleri kapatabilirsin."
"accountModal.sessionsHint","Açık cihazları buradan kapatabilirsin."
"accountModal.sessionsTitle","Aktif oturumlar"
"accountModal.statAddress","Adres"
"accountModal.statFavoriteDomain","Favori domain"
"accountModal.statMail","Mail"
"accountModal.subtitle","Düzenleme Merkezi"
"accountModal.suspicious","Şüpheli"
"accountModal.tabs.general","Genel"
"accountModal.tabs.preferences","Tercihler"
"accountModal.tabs.profile","Profil"
"accountModal.tabs.security","Güvenlik"
"accountModal.tabs.sessions","Oturumlar"
"accountModal.tabs.usage","Kullanım"
"accountModal.tabsSubtitle.general","Görünüm ve temel ayarlar"
"accountModal.tabsSubtitle.preferences","Bildirimler ve domainler"
"accountModal.tabsSubtitle.profile","Ad, e-posta ve fotoğraf"
"accountModal.tabsSubtitle.security","Şifre ve hesap koruması"
"accountModal.tabsSubtitle.sessions","Cihazlar ve girişler"
"accountModal.tabsSubtitle.usage","Plan ve kota bilgileri"
"accountModal.themeDark","Koyu"
"accountModal.themeLight","Açık"
"accountModal.themeSystem","Sistem"
"accountModal.tipBody","Ayarları kaydetmeden sekme değiştirebilirsin. Profil ve güvenlik bölümleri bu pencerede doğrudan çalışır."
"accountModal.tipTitle","İpucu"
"accountModal.title","Hesap Ayarları"
"accountModal.updatePassword","Şifreyi güncelle"
"accountModal.upgradeLimit","Limit Yükselt"
"accountModal.upgradeable","Yükseltilebilir"
"accountModal.used","Kullanıldı"
"accountModal.usedDomain","Kullanılan domain"
"accountModal.username","Kullanıcı adı"
"accountModal.usernameOnce","1 kez kullanılabilir"
"accountModal.usernameRight","Kullanıcı adı hakkı"
"addressBar.activeBadge","Aktif"
"addressBar.activeProtected","Adres aktif ve şifre korumalı"
"addressBar.activeReady","Adres aktif ve kullanıma hazır"
"addressBar.chooseDomain","Domain Seçin"
"addressBar.confirmRandomSubtitle","Bu işlem yeni bir adres üretir. Mevcut adres korunmaz."
"addressBar.confirmRandomTitle","Rastgele adres oluşturulsun mu?"
"addressBar.confirmRefreshSubtitle","Yeni bir adres oluşturulacak ve mevcut adresinizi değiştirecek."
"addressBar.confirmRefreshTitle","Adres yenilensin mi?"
"addressBar.copied","Kopyalandı"
"addressBar.copy","Kopyala"
"addressBar.domainsLoadError","Domain listesi alınamadı. Sayfayı yenileyin veya daha sonra tekrar deneyin."
"addressBar.hoursAgo","{n} sa"
"addressBar.justNow","az önce"
"addressBar.loadingAction","Hazırlanıyor..."
"addressBar.mainDomain","Ana Domain"
"addressBar.minutesAgo","{n} dk"
"addressBar.noDomain","Henüz domain yok"
"addressBar.noDomainsHint","Henüz domain eklenmemiş. Admin panelinden domain ekleyin."
"addressBar.noHistory","Henüz adres geçmişi yok."
"addressBar.noPassworded","Şifreli adres bulunmuyor."
"addressBar.noSubdomains","Henüz subdomain eklenmemiş"
"addressBar.openAddress","Bu Adresi Aç"
"addressBar.selectAddress","Seç"
"addressBar.passwordedBadge","Şifreli"
"addressBar.passwordedList","Tüm Şifreli E-Postalar"
"addressBar.protect","Şifre Koru"
"addressBar.random","Rastgele"
"addressBar.recentHint","En son açtığın adresler"
"addressBar.recentUsed","Son Kullanılanlar"
"addressBar.refresh","Yenile"
"addressBar.safeSubtitle","E-postalarınız anonim ve şifrelenmiş olarak alınır."
"addressBar.safeTitle","Hazır ve Güvende"
"addressBar.selected","Seçili"
"addressBar.subtitle","Adresiniz anında aktif olur, mailler aşağıdaki gelen kutusuna düşer."
"addressBar.title","Geçici E-Posta Adresiniz"
"admin.actions.addDomain","Yeni Domain Ekle"
"admin.actions.cleanup","Temizle"
"admin.actions.export","Dışa Aktar"
"admin.activity.addressCreated","Adres oluşturuldu"
"admin.activity.domainActive","Domain aktif"
"admin.activity.domainInactive","Domain pasif"
"admin.activity.requestApproved","İstek onaylandı"
"admin.activity.requestPending","İstek bekliyor"
"admin.activity.requestRejected","İstek reddedildi"
"admin.common.active","Aktif"
"admin.common.attachment","Ek"
"admin.common.closed","Kapalı"
"admin.common.copy","Kopyala"
"admin.common.copyOtp","OTP Kopyala"
"admin.common.htmlContent","(HTML içerik)"
"admin.common.no","Hayır"
"admin.common.noSubject","(Konu yok)"
"admin.common.open","Açık"
"admin.common.waiting","Bekliyor"
"admin.common.yes","Evet"
"admin.confirm.cleanupAddress","{address} için mail geçmişi temizlensin mi?"
"admin.confirm.cleanupAll","Tüm süresi dolmuş veriler temizlensin mi?"
"admin.confirm.deleteAddress","{address} kalıcı olarak silinsin mi?"
"admin.confirm.deleteDomain","{name} silinsin mi?"
"admin.confirm.deleteMail","Bu mail silinsin mi?"
"admin.confirm.deleteSubdomain","{name} subdomaini silinsin mi?"
"admin.detail.addressId","Adres ID"
"admin.detail.attachmentMails","Ekli mailler"
"admin.detail.autoCleanup","Otomatik temizlik"
"admin.detail.back","Geri"
"admin.detail.clearHistory","Geçmişi Temizle"
"admin.detail.clearMailHistory","Mail Geçmişini Temizle"
"admin.detail.copyAddress","Adresi Kopyala"
"admin.detail.created","Oluşturulma"
"admin.detail.currentStatus","Mevcut durum"
"admin.detail.deleteAddress","Adresi Sil"
"admin.detail.detectedVerification","Algılanan doğrulama"
"admin.detail.emptyMailboxSubtitle","Bu adrese henüz mail gelmedi."
"admin.detail.emptyMailboxTitle","Mailbox boş"
"admin.detail.generalInfo","Genel Bilgiler"
"admin.detail.incomingContent","Gelen içerik"
"admin.detail.incomingMails","Gelen Mailler"
"admin.detail.ipSession","IP / oturum"
"admin.detail.lastAccess","Son erişim"
"admin.detail.lastActivity","Son Aktivite"
"admin.detail.linkedDomain","Bağlı alan adı"
"admin.detail.noOtpSubtitle","Bu adrese gelen maillerde henüz OTP algılanmadı."
"admin.detail.noOtpTitle","OTP kaydı yok"
"admin.detail.notTracked","İzlenmiyor"
"admin.detail.openAccess","Açık erişim"
"admin.detail.otpCodes","OTP Kodları"
"admin.detail.otpCount","OTP sayısı"
"admin.detail.otpHistory","OTP Geçmişi"
"admin.detail.passwordProtected","Şifre korumalı"
"admin.detail.passwordProtection","Şifre koruması"
"admin.detail.retention","Saklama"
"admin.detail.retentionPeriod","Saklama süresi"
"admin.detail.securityActions","Güvenlik ve İşlemler"
"admin.detail.selectMailSubtitle","Detay görmek için tablodan göz ikonuna basın."
"admin.detail.selectMailTitle","Bir mail seçin"
"admin.detail.statistics","İstatistikler"
"admin.detail.status","Durum"
"admin.detail.subtitle","Mailbox denetimi ve geçmiş"
"admin.detail.totalOtpRecords","Toplam OTP kaydı"
"admin.detail.username","Kullanıcı adı"
"admin.dns.noteA","A kaydı hostname’i sunucu IP’sine yönlendirir"
"admin.dns.noteDkim","DKIM imza anahtarı"
"admin.dns.noteDmarc","DMARC politikası"
"admin.dns.noteMx","MX kaydı mail trafiğini bu hostname’e taşır"
"admin.dns.noteSpf","SPF gönderen sunucuyu yetkilendirir"
"admin.dns.noteVerification","Domain sahipliği doğrulaması"
"admin.errors.authRequired","Admin yetkisi gerekiyor"
"admin.errors.endpointMissing","Endpoint bulunamadı"
"admin.errors.ipRequired","Geçerli bir IP girin"
"admin.errors.mailDetailFailed","Mail detayı alınamadı"
"admin.errors.requestFailed","İstek başarısız"
"admin.flash.addressCleaned","Adres geçmişi temizlendi"
"admin.flash.addressDeleted","Adres silindi"
"admin.flash.allDnsCopied","Tüm DNS değerleri kopyalandı"
"admin.flash.bulkDisabled","Bulk erişimi kapatıldı"
"admin.flash.bulkEnabled","Bulk erişimi açıldı"
"admin.flash.cleanupDone","Temizlik tamamlandı"
"admin.flash.copied","Kopyalandı"
"admin.flash.copyFailed","Kopyalama başarısız"
"admin.flash.dnsRefreshed","DNS doğrulaması yenilendi"
"admin.flash.domainActivated","Domain aktifleştirildi"
"admin.flash.domainAdded","""{domain}"" eklendi"
"admin.flash.domainAddedWildcard"," (wildcard aktif)"
"admin.flash.domainDeactivated","Domain pasifleştirildi"
"admin.flash.domainDeleted","""{name}"" silindi"
"admin.flash.domainUpdated","Domain güncellendi"
"admin.flash.exported","Dışa aktarım indirildi"
"admin.flash.loginSuccess","Admin girişi başarılı"
"admin.flash.mailDeleted","Mail silindi"
"admin.flash.packageUpdated","Paket güncellendi"
"admin.flash.recordCopied","{title} kopyalandı"
"admin.flash.requestApproved","İstek onaylandı"
"admin.flash.requestRejected","İstek reddedildi"
"admin.flash.roleUpdated","Rol güncellendi"
"admin.flash.subdomainAdded","""{domain}"" subdomain eklendi"
"admin.flash.subdomainDeleted","""{name}"" subdomaini silindi"
"admin.flash.userActivated","Kullanıcı aktifleştirildi"
"admin.flash.userDeactivated","Kullanıcı pasifleştirildi"
"admin.hero.eyebrow","Kontrol merkezi"
"admin.hero.subtitle","MS Temp Mail sistem yönetimi, canlı istatistikler ve operasyon akışları."
"admin.hero.title","Admin Paneli"
"admin.login.defaultPassword","Varsayılan:"
"admin.login.loading","Kontrol ediliyor…"
"admin.login.passwordLabel","Admin şifresi"
"admin.login.submit","Giriş Yap"
"admin.login.subtitle","Yönetim yetkisiyle devam edin"
"admin.login.title","Admin Paneli"
"admin.mix.attachment","Ekli"
"admin.mix.normal","Normal"
"admin.stats.activeDomains","Aktif Domain"
"admin.stats.allTime","Tüm zamanlar"
"admin.stats.last24h","Son 24 Saat"
"admin.stats.newMessages","Yeni gelen mesaj"
"admin.stats.protectedCount","Şifreli: {count}"
"admin.stats.totalAddresses","Toplam Adres"
"admin.stats.totalDomains","Toplam: {count}"
"admin.stats.totalMail","Toplam Mail"
"admin.system.activeDomains","Aktif domainler"
"admin.system.adminSession","Admin oturumu"
"admin.system.cleanupPolicy","Temizlik politikası"
"admin.system.cleanupPolicyValue","Otomatik + manuel"
"admin.system.protectedMailbox","Şifreli mailbox"
"admin.system.smtpFlow","SMTP akışı"
"admin.table.action","İşlem"
"admin.table.date","Tarih"
"admin.table.sender","Gönderen"
"admin.table.subject","Konu"
"admin.table.tag","Etiket"
"admin.tabs.addresses","Adresler"
"admin.tabs.bulk","Bulk Havuzları"
"admin.tabs.dashboard","Dashboard"
"admin.tabs.domains","Domainler"
"admin.tabs.emails","Mailler"
"admin.tabs.requests","İstekler"
"admin.tabs.settings","Ayarlar"
"admin.tabs.users","Kullanıcılar"
"admin.ui.addr.active","Aktif Adres"
"admin.ui.addr.activeHint","Son erişim veya mail var"
"admin.ui.addr.all","Tüm Adresler"
"admin.ui.addr.clearFilter","Filtreyi Temizle"
"admin.ui.addr.colActions","İşlemler"
"admin.ui.addr.colActivity","Son Aktivite"
"admin.ui.addr.colCreated","Oluşturulma"
"admin.ui.addr.colDomain","Domain"
"admin.ui.addr.colEmail","E-posta Adresi"
"admin.ui.addr.colMailCount","Mail Sayısı"
"admin.ui.addr.colRetention","Saklama"
"admin.ui.addr.colStatus","Durum"
"admin.ui.addr.emptySubtitle","Arama ve filtreleri temizleyip tekrar deneyin."
"admin.ui.addr.emptyTitle","Adres bulunamadı"
"admin.ui.addr.expired","Süresi Dolan"
"admin.ui.addr.expiredHint","Temizlik bekleyen"
"admin.ui.addr.fActive","Aktif"
"admin.ui.addr.fDomain","Domain"
"admin.ui.addr.fExpired","Süresi doldu"
"admin.ui.addr.fIdle","Pasif"
"admin.ui.addr.fProtected","Şifreli"
"admin.ui.addr.fStatus","Durum"
"admin.ui.addr.next","Sonraki"
"admin.ui.addr.page","Sayfa {page} / {total}"
"admin.ui.addr.prev","Önceki"
"admin.ui.addr.protected","Şifre Korumalı"
"admin.ui.addr.protectedHint","Ek güvenlik açık"
"admin.ui.addr.searchPlaceholder","E-posta adresi ara..."
"admin.ui.addr.showingRange","{total} adresten {from}-{to} arası gösteriliyor"
"admin.ui.addr.sortDomain","Domain"
"admin.ui.addr.sortLastMail","Son aktivite"
"admin.ui.addr.sortNewest","Sırala: En yeni"
"admin.ui.addr.sortOldest","Sırala: En eski"
"admin.ui.addr.sortUsage","Kullanım sayısı"
"admin.ui.addr.total","Toplam Adres"
"admin.ui.addr.totalHint","Tüm mailbox kayıtları"
"admin.ui.bulk.accessOff","Kapalı"
"admin.ui.bulk.accessOn","Açık"
"admin.ui.bulk.activePool","Aktif Havuz"
"admin.ui.bulk.activePoolHint","Kullanıcıya bağlı prefix havuzları"
"admin.ui.bulk.authorizedUsers","Yetkili Kullanıcı"
"admin.ui.bulk.authorizedUsersHint","Yalnız Pro ve Pro+"
"admin.ui.bulk.colAccess","Yetki"
"admin.ui.bulk.colAddr","Adres"
"admin.ui.bulk.colLastGen","Son üretim"
"admin.ui.bulk.colOwner","Sahip"
"admin.ui.bulk.colPackage","Paket"
"admin.ui.bulk.colPool","Havuz"
"admin.ui.bulk.emptySubtitle","Yetki verdiğiniz Pro/Pro+ kullanıcılar burada havuz oluşturabilir."
"admin.ui.bulk.emptyTitle","Bulk havuzu bulunamadı"
"admin.ui.bulk.generatedAddr","Üretilen Adres"
"admin.ui.bulk.generatedAddrHint","Normal paket kotasına dahildir"
"admin.ui.bulk.pools","Bulk Havuzları ({count})"
"admin.ui.bulk.searchPlaceholder","Kullanıcı, prefix veya domain ara"
"admin.ui.dash.activityEmptySubtitle","Yeni işlemler burada görünecek."
"admin.ui.dash.activityEmptyTitle","Henüz aktivite yok"
"admin.ui.dash.colAction","İşlem"
"admin.ui.dash.colAddress","Adres"
"admin.ui.dash.colCreated","Oluşturulma"
"admin.ui.dash.colRecipient","Alıcı"
"admin.ui.dash.colStatus","Durum"
"admin.ui.dash.domainEmptySubtitle","Üstteki hızlı aksiyonla yeni domain ekleyin."
"admin.ui.dash.domainEmptyTitle","Henüz domain eklenmedi"
"admin.ui.dash.domainMgmt","Domain Yönetimi"
"admin.ui.dash.expiredAddr","Süresi Dolan Adres"
"admin.ui.dash.inactiveUsers","Pasif Kullanıcı"
"admin.ui.dash.mailMix","Mail Dağılımı"
"admin.ui.dash.mailsEmptySubtitle","Yeni mesajlar geldiğinde burada listelenecek."
"admin.ui.dash.mailsEmptyTitle","Henüz mail yok"
"admin.ui.dash.manageRequests","İstekleri Yönet"
"admin.ui.dash.mixEmptySubtitle","Mail geldikçe pasta grafik dolacak."
"admin.ui.dash.mixEmptyTitle","Dağılım verisi yok"
"admin.ui.dash.opsSummary","Operasyon özeti"
"admin.ui.dash.pendingPro","Bekleyen Pro İsteği"
"admin.ui.dash.protectedAddr","Şifreli Adres"
"admin.ui.dash.recentActivity","Son Aktiviteler"
"admin.ui.dash.recentMails","Son Mailler"
"admin.ui.dash.security","Güvenlik ve Temizlik"
"admin.ui.dash.systemStatus","Sistem Durumu"
"admin.ui.dash.tagIncoming","Gelen"
"admin.ui.dash.traffic","Mail Trafiği"
"admin.ui.dash.trafficEmptySubtitle","Mail geldikçe trafik burada belirecek."
"admin.ui.dash.trafficEmptyTitle","Grafik için veri yok"
"admin.ui.dash.viewAll","Tümünü Gör"
"admin.ui.dash.viewAllMails","Tüm mailleri görüntüle"
"admin.ui.dnsModal.aRecordCopied","A Record kopyalandı"
"admin.ui.dnsModal.addLabel","Ekleyin"
"admin.ui.dnsModal.close","Kapat"
"admin.ui.dnsModal.colAction","İşlem"
"admin.ui.dnsModal.colHost","Host"
"admin.ui.dnsModal.colType","Type"
"admin.ui.dnsModal.colValue","Value"
"admin.ui.dnsModal.copy","Kopyala"
"admin.ui.dnsModal.copyAll","Tümünü Kopyala"
"admin.ui.dnsModal.copyAllValues","Tüm Değerleri Kopyala"
"admin.ui.dnsModal.copyDomainName","Alan adını kopyala"
"admin.ui.dnsModal.dnsRecords","DNS Kayıtları"
"admin.ui.dnsModal.domainDesc","Seçilen alan adınız için gerekli DNS kayıtlarını aşağıda görebilirsiniz."
"admin.ui.dnsModal.domainName","Alan Adı"
"admin.ui.dnsModal.domainNameCopied","Alan adı kopyalandı"
"admin.ui.dnsModal.howToBody","Alan adınızın DNS paneline gidin ve yukarıdaki kayıtları eksiksiz şekilde ekleyin."
"admin.ui.dnsModal.howToTitle","Nasıl Kullanılır?"
"admin.ui.dnsModal.mxRecordCopied","MX Record kopyalandı"
"admin.ui.dnsModal.propagationBody","DNS değişiklikleri genellikle 5-60 dakika içinde yayılır."
"admin.ui.dnsModal.propagationTitle","Yayılma Süresi"
"admin.ui.dnsModal.recordStatus","Kayıt Durumu"
"admin.ui.dnsModal.refreshVerify","Doğrulamayı Yenile"
"admin.ui.dnsModal.serverIp","Sunucu IP"
"admin.ui.dnsModal.serverIpCopied","Sunucu IP kopyalandı"
"admin.ui.dnsModal.serverIpDesc","Tüm e-posta trafiği bu IP adresi üzerinden yönlendirilecektir."
"admin.ui.dnsModal.subtitle","Aşağıdaki DNS kayıtlarını alan adınız için ekleyin."
"admin.ui.dnsModal.title","DNS Kayıt Kurulumu"
"admin.ui.dnsModal.txtRecordCopied","TXT Record kopyalandı"
"admin.ui.dnsModal.verifyBody","Kayıtlar eklendikten sonra doğrulama işlemini yenileyebilirsiniz."
"admin.ui.dnsModal.verifyTitle","Doğrulama"
"admin.ui.dnsModal.wildcardCopied","Wildcard Subdomain DNS kayıtları kopyalandı"
"admin.ui.dnsModal.wildcardDesc","Subdomain desteği için aşağıdaki DNS kayıtlarını ekleyin. Bu kayıtlar ile *.domain.com şeklinde tüm alt domainler otomatik çalışır."
"admin.ui.dnsModal.wildcardNote","Not:"
"admin.ui.dnsModal.wildcardNoteBody","şeklindeki tüm subdomain'ler otomatik olarak çalışacaktır. Kullanıcılar istedikleri subdomain'i seçerek mail adresi oluşturabilir."
"admin.ui.dnsModal.wildcardTitle","Wildcard Subdomain DNS Kayıtları"
"admin.ui.domains.activate","Aktifleştir"
"admin.ui.domains.active","Aktif"
"admin.ui.domains.activeAddr","{count} aktif adres"
"admin.ui.domains.activeTotal","{active} aktif / {total} toplam"
"admin.ui.domains.add","Ekle"
"admin.ui.domains.addNew","Yeni Domain Ekle"
"admin.ui.domains.addrUnit","{count} adres"
"admin.ui.domains.cardSubtitle","Sistemdeki root domainleri yönetin ve alt domainleri tek panelden düzenleyin."
"admin.ui.domains.closeForm","Formu Kapat"
"admin.ui.domains.collapse","Daralt"
"admin.ui.domains.copy","Kopyala"
"admin.ui.domains.createdAt","Oluşturulma Tarihi"
"admin.ui.domains.deactivate","Pasifleştir"
"admin.ui.domains.delete","Sil"
"admin.ui.domains.docs","Domain Docs"
"admin.ui.domains.edit","Düzenle"
"admin.ui.domains.emptySubtitle","Yeni bir domain ekleyerek başlayın."
"admin.ui.domains.emptyTitle","Domain yok"
"admin.ui.domains.expand","Genişlet"
"admin.ui.domains.inactive","Pasif"
"admin.ui.domains.loadingSubdomains","Subdomainler yukleniyor..."
"admin.ui.domains.mxRecord","MX Kaydı"
"admin.ui.domains.noSubSubtitle","Yukarıdaki alanı kullanarak bu root domain için ilk subdomaini oluşturabilirsiniz."
"admin.ui.domains.noSubTitle","Henüz subdomain eklenmedi"
"admin.ui.domains.refresh","Yenile"
"admin.ui.domains.save","Kaydet"
"admin.ui.domains.serverIp","Sunucu IP"
"admin.ui.domains.subActive","{count} aktif"
"admin.ui.domains.subExample","Ornek: demo@{domain}"
"admin.ui.domains.subPlaceholder","Yeni subdomain ekle (örn: mail, gmail, temp)"
"admin.ui.domains.subSectionHint","Bu root domain altında alt domainler oluşturabilir ve yönetebilirsiniz."
"admin.ui.domains.subdomainCopied","Subdomain kopyalandı"
"admin.ui.domains.subdomains","Alt Domainler"
"admin.ui.domains.title","Domain Yönetimi"
"admin.ui.domains.totalActiveAddr","Toplam Aktif Adres"
"admin.ui.domains.wildcardActive","Wildcard Aktif"
"admin.ui.domains.wildcardEnabled","Aktif edildi"
"admin.ui.domains.wildcardHint","Aktif edilirse *.domain.com şeklinde alt domainler oluşturulabilir"
"admin.ui.domains.wildcardOff","Wildcard Kapalı"
"admin.ui.domains.wildcardRequired","Subdomain oluşturmak için önce wildcard desteğini açın."
"admin.ui.domains.wildcardSupport","Wildcard Desteği"
"admin.ui.domains.wildcardTitle","Wildcard Subdomain Desteği"
"admin.ui.editDomain.close","Kapat"
"admin.ui.editDomain.copy","Kopyala"
"admin.ui.editDomain.domain","Domain"
"admin.ui.editDomain.exampleBody","123.45.67.89"
"admin.ui.editDomain.exampleLabel","Örnek:"
"admin.ui.editDomain.noteBody","Sadece rakam ve nokta kabul edilir."
"admin.ui.editDomain.noteLabel","Not:"
"admin.ui.editDomain.save","Kaydet"
"admin.ui.editDomain.serverIp","Sunucu IP"
"admin.ui.editDomain.subtitle","IP adresini güncelleyin. Sistem A, MX ve TXT değerlerini otomatik yeniden üretir."
"admin.ui.editDomain.title","{domain} Domain Düzenle"
"admin.ui.editDomain.titleFallback","Domain Düzenle"
"admin.ui.editDomain.wildcardHint","Aktif edilirse *.domain.com şeklinde alt domainler oluşturulabilir"
"admin.ui.editDomain.wildcardTitle","Wildcard Subdomain Desteği"
"admin.ui.emails.all","Tüm Mailler ({count})"
"admin.ui.emails.colAction","İşlem"
"admin.ui.emails.colDate","Tarih"
"admin.ui.emails.colRecipient","Alıcı"
"admin.ui.emails.colSender","Gönderen"
"admin.ui.emails.colSubject","Konu"
"admin.ui.emails.colTag","Etiket"
"admin.ui.emails.copyOtp","OTP Kopyala"
"admin.ui.emails.detail","Mail Detayı"
"admin.ui.emails.detailEmptySubtitle","Detayı görmek için listedeki göz ikonuna basın."
"admin.ui.emails.detailEmptyTitle","Bir mail seçin"
"admin.ui.emails.emptySubtitle","Sistem mail almaya başladığında burada listelenecek."
"admin.ui.emails.emptyTitle","Henüz mail yok"
"admin.ui.emails.next","Sonraki"
"admin.ui.emails.page","Sayfa {page}"
"admin.ui.emails.prev","Önceki"
"admin.ui.emails.tagAttached","Ekli"
"admin.ui.emails.tagNormal","Normal"
"admin.ui.requests.alreadyPro","Zaten Pro"
"admin.ui.requests.approve","Onayla"
"admin.ui.requests.approved","Onaylandı"
"admin.ui.requests.emptySubtitle","Yeni Pro talepleri burada görünür."
"admin.ui.requests.emptyTitle","Bekleyen istek yok"
"admin.ui.requests.noMessage","Mesaj bırakılmadı."
"admin.ui.requests.pending","Bekliyor"
"admin.ui.requests.reject","Reddet"
"admin.ui.requests.rejected","Reddedildi"
"admin.ui.requests.title","Pro İstekleri ({count})"
"admin.ui.settings.activeDomainCount","Aktif Domain Sayısı"
"admin.ui.settings.adminAuth","Admin kimlik doğrulama"
"admin.ui.settings.adminAuthValue","JWT + parola fallback"
"admin.ui.settings.cleanupPolicy","Temizlik Politikası"
"admin.ui.settings.cleanupPolicyValue","Manuel + servis bazlı"
"admin.ui.settings.defaultRetention","Varsayılan Veri Saklama"
"admin.ui.settings.defaultRetentionValue","7 gün / yalnızca manuel tetikleme"
"admin.ui.settings.defaultSoundDesc","Katmanlı ve parlak bir chime efekti."
"admin.ui.settings.defaultSoundName","Glass Chime"
"admin.ui.settings.general","Genel Ayarlar"
