key,pt
"admin.ui.addr.activeHint","Acesso recente ou e-mail presente"
"admin.ui.addr.all","Todos os endereços"
"admin.ui.addr.clearFilter","Limpar filtro"
"admin.ui.addr.colActions","Ações"
"admin.ui.addr.colActivity","Última atividade"
"admin.ui.addr.colCreated","Criado"
"admin.ui.addr.colDomain","Domínio"
"admin.ui.addr.colEmail","Endereço de e-mail"
"admin.ui.addr.colMailCount","Contagem de e-mails"
"admin.ui.addr.colRetention","Retenção"
"admin.ui.addr.colStatus","Status"
"admin.ui.addr.emptySubtitle","Limpe a pesquisa e os filtros e tente novamente."
"admin.ui.addr.emptyTitle","Nenhum endereço encontrado"
"admin.ui.addr.expired","Expirado"
"admin.ui.addr.expiredHint","Aguardando limpeza"
"admin.ui.addr.fActive","Ativo"
"admin.ui.addr.fDomain","Domínio"
"admin.ui.addr.fExpired","Expirado"
"admin.ui.addr.fIdle","Inativo"
"admin.ui.addr.fProtected","Com senha"
"admin.ui.addr.fStatus","Status"
"admin.ui.addr.next","Próximo"
"admin.ui.addr.page","Página {page} / {total}"
"admin.ui.addr.prev","Anterior"
"admin.ui.addr.protected","Protegido por senha"
"admin.ui.addr.protectedHint","Segurança extra ativada"
"admin.ui.addr.searchPlaceholder","Pesquisar endereço de e-mail..."
"admin.ui.addr.showingRange","Mostrando {from}-{to} de {total} endereços"
"admin.ui.addr.sortDomain","Domínio"
"admin.ui.addr.sortLastMail","Última atividade"
"admin.ui.addr.sortNewest","Ordenar: Mais recente"
"admin.ui.addr.sortOldest","Ordenar: Mais antigo"
"admin.ui.addr.sortUsage","Contagem de uso"
"admin.ui.addr.total","Total de endereços"
"admin.ui.addr.totalHint","Todos os registros de caixa de correio"
"admin.ui.bulk.accessOff","Desativado"
"admin.ui.bulk.accessOn","Ativado"
"admin.ui.bulk.activePool","Pools ativos"
"admin.ui.bulk.activePoolHint","Pools de prefixo vinculados a usuários"
"admin.ui.bulk.authorizedUsers","Usuários autorizados"
"admin.ui.bulk.authorizedUsersHint","Apenas Pro e Pro+"
"admin.ui.bulk.colAccess","Acesso"
"admin.ui.bulk.colAddr","Endereços"
"admin.ui.bulk.colLastGen","Última geração"
"admin.ui.bulk.colOwner","Proprietário"
"admin.ui.bulk.colPackage","Pacote"
"admin.ui.bulk.colPool","Pool"
"admin.ui.bulk.emptySubtitle","Usuários Pro/Pro+ que você autorizar podem criar pools aqui."
"admin.ui.bulk.emptyTitle","Nenhum pool em massa encontrado"
"admin.ui.bulk.generatedAddr","Endereços gerados"
"admin.ui.bulk.generatedAddrHint","Incluídos na cota normal do pacote"
"admin.ui.bulk.pools","Pools em massa ({count})"
"admin.ui.bulk.searchPlaceholder","Pesquisar usuário, prefixo ou domínio"
"admin.ui.dash.activityEmptySubtitle","Novas ações aparecerão aqui."
"admin.ui.dash.activityEmptyTitle","Nenhuma atividade ainda"
"admin.ui.dash.colAction","Ação"
"admin.ui.dash.colAddress","Endereços"
"admin.ui.dash.colCreated","Criado"
"admin.ui.dash.colRecipient","Destinatário"
"admin.ui.dash.colStatus","Status"
"admin.ui.dash.domainEmptySubtitle","Adicione um novo domínio usando a ação rápida acima."
"admin.ui.dash.domainEmptyTitle","Nenhum domínio adicionado ainda"
"admin.ui.dash.domainMgmt","Gerenciamento de domínios"
"admin.ui.dash.expiredAddr","Endereços expirados"
"admin.ui.dash.inactiveUsers","Usuários inativos"
"admin.ui.dash.mailMix","Distribuição de e-mails"
"admin.ui.dash.mailsEmptySubtitle","Novas mensagens serão listadas aqui quando chegarem."
"admin.ui.dash.mailsEmptyTitle","Nenhum e-mail ainda"
"admin.ui.dash.manageRequests","Gerenciar solicitações"
"admin.ui.dash.mixEmptySubtitle","O gráfico de pizza será preenchido conforme os e-mails chegam."
"admin.ui.dash.mixEmptyTitle","Sem dados de distribuição"
"admin.ui.dash.opsSummary","Resumo de operações"
"admin.ui.dash.pendingPro","Solicitação Pro pendente"
"admin.ui.dash.protectedAddr","Endereços com senha"
"admin.ui.dash.recentActivity","Atividade recente"
"admin.ui.dash.recentMails","E-mails recentes"
"admin.ui.dash.security","Segurança e limpeza"
"admin.ui.dash.systemStatus","Status do sistema"
"admin.ui.dash.tagIncoming","Recebidos"
"admin.ui.dash.traffic","Tráfego de e-mails"
"admin.ui.dash.trafficEmptySubtitle","O tráfego aparecerá aqui conforme os e-mails chegam."
"admin.ui.dash.trafficEmptyTitle","Sem dados para o gráfico"
"admin.ui.dash.viewAll","Ver tudo"
"admin.ui.dash.viewAllMails","Ver todos os e-mails"
"admin.ui.dnsModal.aRecordCopied","Registro A copiado"
"admin.ui.dnsModal.addLabel","Adicionar"
"admin.ui.dnsModal.close","Fechar"
"admin.ui.dnsModal.colAction","Ação"
"admin.ui.dnsModal.colHost","Host"
"admin.ui.dnsModal.colType","Tipo"
"admin.ui.dnsModal.colValue","Valor"
"admin.ui.dnsModal.copy","Copiar"
"admin.ui.dnsModal.copyAll","Copiar tudo"
"admin.ui.dnsModal.copyAllValues","Copiar todos os valores"
"admin.ui.dnsModal.copyDomainName","Copiar nome do domínio"
"admin.ui.dnsModal.dnsRecords","Registros DNS"
"admin.ui.dnsModal.domainDesc","Os registros DNS necessários para o domínio selecionado são exibidos abaixo."
"admin.ui.dnsModal.domainName","Nome do domínio"
"admin.ui.dnsModal.domainNameCopied","Nome do domínio copiado"
"admin.ui.dnsModal.howToBody","Acesse o painel DNS do seu domínio e adicione completamente os registros acima."
"admin.ui.dnsModal.howToTitle","Como usar?"
"admin.ui.dnsModal.mxRecordCopied","Registro MX copiado"
"admin.ui.dnsModal.propagationBody","As alterações de DNS geralmente se propagam em 5 a 60 minutos."
"admin.ui.dnsModal.propagationTitle","Tempo de propagação"
"admin.ui.dnsModal.recordStatus","Status do registro"
"admin.ui.dnsModal.refreshVerify","Atualizar verificação"
"admin.ui.dnsModal.serverIp","IP do servidor"
"admin.ui.dnsModal.serverIpCopied","IP do servidor copiado"
"admin.ui.dnsModal.serverIpDesc","Todo o tráfego de e-mail será roteado por este endereço IP."
"admin.ui.dnsModal.subtitle","Adicione os registros DNS abaixo para o seu domínio."
"admin.ui.dnsModal.title","Configuração de registros DNS"
"admin.ui.dnsModal.txtRecordCopied","Registro TXT copiado"
"admin.ui.dnsModal.verifyBody","Você pode atualizar a verificação após adicionar os registros."
"admin.ui.dnsModal.verifyTitle","Verificação"
"admin.ui.dnsModal.wildcardCopied","Registros DNS de subdomínio curinga copiados"
"admin.ui.dnsModal.wildcardDesc","Adicione os registros DNS abaixo para suporte a subdomínios. Com esses registros, todos os subdomínios como *.domain.com funcionam automaticamente."
"admin.ui.dnsModal.wildcardNote","Nota:"
"admin.ui.dnsModal.wildcardNoteBody","todos os subdomínios funcionarão automaticamente. Os usuários podem criar um endereço de e-mail escolhendo qualquer subdomínio."
"admin.ui.dnsModal.wildcardTitle","Registros DNS de subdomínio curinga"
"admin.ui.domains.activate","Ativar"
"admin.ui.domains.active","Ativo"
"admin.ui.domains.activeAddr","{count} endereços ativos"
"admin.ui.domains.activeTotal","{active} ativos / {total} total"
"admin.ui.domains.add","Adicionar"
"admin.ui.domains.addNew","Adicionar domínio"
"admin.ui.domains.addrUnit","{count} endereços"
"admin.ui.domains.cardSubtitle","Gerencie os domínios raiz do sistema e edite subdomínios em um único painel."
"admin.ui.domains.closeForm","Fechar formulário"
"admin.ui.domains.collapse","Recolher"
"admin.ui.domains.copy","Copiar"
"admin.ui.domains.createdAt","Criado em"
"admin.ui.domains.deactivate","Desativar"
"admin.ui.domains.delete","Excluir"
"admin.ui.domains.docs","Documentação do domínio"
"admin.ui.domains.edit","Editar"
"admin.ui.domains.emptySubtitle","Comece adicionando um novo domínio."
"admin.ui.domains.emptyTitle","Sem domínios"
"admin.ui.domains.expand","Expandir"
"admin.ui.domains.inactive","Inativo"
"admin.ui.domains.loadingSubdomains","Carregando subdomínios..."
"admin.ui.domains.mxRecord","Registro MX"
"admin.ui.domains.noSubSubtitle","Use o campo acima para criar o primeiro subdomínio deste domínio raiz."
"admin.ui.domains.noSubTitle","Nenhum subdomínio adicionado ainda"
"admin.ui.domains.refresh","Atualizar"
"admin.ui.domains.save","Salvar"
"admin.ui.domains.serverIp","IP do servidor"
"admin.ui.domains.subActive","{count} ativos"
"admin.ui.domains.subExample","Exemplo: demo@{domain}"
"admin.ui.domains.subPlaceholder","Adicionar novo subdomínio (ex.: mail, gmail, temp)"
"admin.ui.domains.subSectionHint","Você pode criar e gerenciar subdomínios neste domínio raiz."
"admin.ui.domains.subdomainCopied","Subdomínio copiado"
"admin.ui.domains.subdomains","Subdomínios"
"admin.ui.domains.title","Gerenciamento de domínios"
"admin.ui.domains.totalActiveAddr","Total de endereços ativos"
"admin.ui.domains.wildcardActive","Curinga ativado"
"admin.ui.domains.wildcardEnabled","Ativado"
"admin.ui.domains.wildcardHint","Se ativado, subdomínios como *.domain.com podem ser criados"
"admin.ui.domains.wildcardOff","Curinga desativado"
"admin.ui.domains.wildcardRequired","Ative o suporte curinga primeiro para criar subdomínios."
"admin.ui.domains.wildcardSupport","Suporte a curinga"
"admin.ui.domains.wildcardTitle","Suporte a subdomínio curinga"
"admin.ui.editDomain.close","Fechar"
"admin.ui.editDomain.copy","Copiar"
"admin.ui.editDomain.domain","Domínio"
"admin.ui.editDomain.exampleBody","123.45.67.89"
"admin.ui.editDomain.exampleLabel","Exemplo:"
"admin.ui.editDomain.noteBody","Apenas dígitos e pontos são aceitos."
"admin.ui.editDomain.noteLabel","Nota:"
"admin.ui.editDomain.save","Salvar"
"admin.ui.editDomain.serverIp","IP do servidor"
"admin.ui.editDomain.subtitle","Atualize o endereço IP. O sistema regenera os valores A, MX e TXT automaticamente."
"admin.ui.editDomain.title","Editar domínio {domain}"
"admin.ui.editDomain.titleFallback","Editar domínio"
"admin.ui.editDomain.wildcardHint","Se ativado, subdomínios como *.domain.com podem ser criados"
"admin.ui.editDomain.wildcardTitle","Suporte a subdomínio curinga"
"admin.ui.emails.all","Todos os e-mails ({count})"
"admin.ui.emails.colAction","Ação"
"admin.ui.emails.colDate","Data"
"admin.ui.emails.colRecipient","Destinatário"
"admin.ui.emails.colSender","Remetente"
"admin.ui.emails.colSubject","Assunto"
"admin.ui.emails.colTag","Etiqueta"
"admin.ui.emails.copyOtp","Copiar OTP"
"admin.ui.emails.detail","Detalhes do e-mail"
"admin.ui.emails.detailEmptySubtitle","Clique no ícone de olho na lista para ver os detalhes."
"admin.ui.emails.detailEmptyTitle","Selecione um e-mail"
"admin.ui.emails.emptySubtitle","Os e-mails serão listados aqui assim que o sistema começar a receber."
"admin.ui.emails.emptyTitle","Nenhum e-mail ainda"
"admin.ui.emails.next","Próximo"
"admin.ui.emails.page","Página {page}"
"admin.ui.emails.prev","Anterior"
"admin.ui.emails.tagAttached","Anexado"
"admin.ui.emails.tagNormal","Normal"
"admin.ui.requests.alreadyPro","Já é Pro"
"admin.ui.requests.approve","Aprovar"
"admin.ui.requests.approved","Aprovado"
"admin.ui.requests.emptySubtitle","Novas solicitações Pro aparecem aqui."
"admin.ui.requests.emptyTitle","Nenhuma solicitação pendente"
"admin.ui.requests.noMessage","Nenhuma mensagem deixada."
"admin.ui.requests.pending","Pendente"
"admin.ui.requests.reject","Rejeitar"
"admin.ui.requests.rejected","Rejeitado"
"admin.ui.requests.title","Solicitações Pro ({count})"
"admin.ui.settings.activeDomainCount","Contagem de domínios ativos"
"admin.ui.settings.adminAuth","Autenticação de administrador"
"admin.ui.settings.adminAuthValue","JWT + fallback de senha"
"admin.ui.settings.cleanupPolicy","Política de limpeza"
"admin.ui.settings.cleanupPolicyValue","Manual + baseado em serviço"
"admin.ui.settings.defaultRetention","Retenção padrão de dados"
"admin.ui.settings.defaultRetentionValue","7 dias / apenas acionamento manual"
"admin.ui.settings.defaultSoundDesc","Um efeito de carrilhão brilhante e em camadas."
"admin.ui.settings.defaultSoundName","Carrilhão de vidro"
"admin.ui.settings.general","Configurações gerais"
"admin.ui.settings.logout","Encerrar sessão de administrador"
"admin.ui.settings.mailVolume","Volume de e-mails"
"admin.ui.settings.notifSound","Som de notificação"
"admin.ui.settings.opsSummary","Resumo de operações"
"admin.ui.settings.pendingRequests","Solicitações pendentes"
"admin.ui.settings.preview","Pré-visualização"
"admin.ui.settings.protectedMailbox","Caixas com senha"
"admin.ui.settings.refreshAll","Atualizar todos os dados"
"admin.ui.settings.selectedSignal","Sinal selecionado"
"admin.ui.settings.totalUsers","Total de usuários"
"admin.ui.users.activate","Ativar"
"admin.ui.users.active","Ativo"
"admin.ui.users.admin","Administrador"
"admin.ui.users.adminPackage","Pacote administrador"
"admin.ui.users.bulkClose","Desativar em massa"
"admin.ui.users.bulkOff","Desativado"
"admin.ui.users.bulkOn","Ativado"
"admin.ui.users.bulkOpen","Ativar em massa"
"admin.ui.users.colAction","Ação"
"admin.ui.users.colAddr","Endereços"
"admin.ui.users.colBulk","Em massa"
"admin.ui.users.colLastLogin","Último login"
"admin.ui.users.colMail","E-mail"
"admin.ui.users.colRole","Função"
"admin.ui.users.colStatus","Status"
"admin.ui.users.colUser","Usuário"
"admin.ui.users.deactivate","Desativar"
"admin.ui.users.emptySubtitle","Usuários registrados são listados aqui."
"admin.ui.users.emptyTitle","Nenhum usuário encontrado"
"admin.ui.users.free","Gratuito"
"admin.ui.users.inactive","Inativo"
