key,fr
"accountModal.tabsSubtitle.preferences","Notifications et domaines"
"accountModal.tabsSubtitle.profile","Nom, e-mail et photo"
"accountModal.tabsSubtitle.security","Mot de passe et protection du compte"
"accountModal.tabsSubtitle.sessions","Appareils et connexions"
"accountModal.tabsSubtitle.usage","Formule et informations de quota"
"accountModal.themeDark","Sombre"
"accountModal.themeLight","Clair"
"accountModal.themeSystem","Système"
"accountModal.tipBody","Vous pouvez changer d'onglet sans enregistrer. Les sections profil et sécurité fonctionnent directement dans cette fenêtre."
"accountModal.tipTitle","Astuce"
"accountModal.title","Paramètres du compte"
"accountModal.updatePassword","Mettre à jour le mot de passe"
"accountModal.upgradeLimit","Augmenter la limite"
"accountModal.upgradeable","Améliorable"
"accountModal.used","Utilisé"
"accountModal.usedDomain","Domaines utilisés"
"accountModal.username","Nom d'utilisateur"
"accountModal.usernameOnce","Utilisable une fois"
"accountModal.usernameRight","Droit du nom d'utilisateur"
"addressBar.activeBadge","Actif"
"addressBar.activeProtected","L'adresse est active et protégée par mot de passe"
"addressBar.activeReady","L'adresse est active et prête à l'emploi"
"addressBar.chooseDomain","Choisir le domaine"
"addressBar.confirmRandomSubtitle","Cela créera une nouvelle adresse et l'actuelle ne sera pas conservée."
"addressBar.confirmRandomTitle","Générer une adresse aléatoire ?"
"addressBar.confirmRefreshSubtitle","Une nouvelle adresse sera créée et votre adresse actuelle sera remplacée."
"addressBar.confirmRefreshTitle","Actualiser cette adresse ?"
"addressBar.copied","Copié"
"addressBar.copy","Copier"
"addressBar.domainsLoadError","Impossible de charger la liste des domaines. Actualisez la page ou réessayez plus tard."
"addressBar.hoursAgo","{n}h"
"addressBar.justNow","à l'instant"
"addressBar.loadingAction","Préparation..."
"addressBar.mainDomain","Domaine principal"
"addressBar.minutesAgo","{n}m"
"addressBar.noDomain","Aucun domaine pour le moment"
"addressBar.noDomainsHint","Aucun domaine n'a encore été ajouté. Ajoutez-en un dans le panneau d'administration."
"addressBar.noHistory","Aucun historique d'adresse pour le moment."
"addressBar.noPassworded","Aucune adresse protégée par mot de passe."
"addressBar.noSubdomains","Aucun sous-domaine ajouté pour le moment"
"addressBar.openAddress","Ouvrir l'adresse"
"addressBar.passwordedBadge","Protégé"
"addressBar.passwordedList","Tous les e-mails protégés par mot de passe"
"addressBar.protect","Protéger"
"addressBar.random","Aléatoire"
"addressBar.recentHint","Vos dernières adresses ouvertes"
"addressBar.recentUsed","Récent"
"addressBar.refresh","Actualiser"
"addressBar.safeSubtitle","Les e-mails sont reçus anonymement et chiffrés."
"addressBar.safeTitle","Prêt et sécurisé"
"addressBar.selected","Sélectionné"
"addressBar.subtitle","Votre adresse devient active instantanément et les messages arrivent dans la boîte de réception ci-dessous."
"addressBar.title","Votre adresse e-mail temporaire"
"admin.actions.addDomain","Ajouter un domaine"
"admin.actions.cleanup","Nettoyage"
"admin.actions.export","Exporter"
"admin.activity.addressCreated","Adresse créée"
"admin.activity.domainActive","Domaine actif"
"admin.activity.domainInactive","Domaine inactif"
"admin.activity.requestApproved","Demande approuvée"
"admin.activity.requestPending","Demande en attente"
"admin.activity.requestRejected","Demande rejetée"
"admin.common.active","Actif"
"admin.common.attachment","Pièce jointe"
"admin.common.closed","Fermé"
"admin.common.copy","Copier"
"admin.common.copyOtp","Copier l'OTP"
"admin.common.htmlContent","(Contenu HTML)"
"admin.common.no","Non"
"admin.common.noSubject","(Aucun objet)"
"admin.common.open","Ouvrir"
"admin.common.waiting","En attente"
"admin.common.yes","Oui"
"admin.confirm.cleanupAddress","Effacer l'historique du courrier pour {address} ?"
"admin.confirm.cleanupAll","Nettoyer toutes les données expirées ?"
"admin.confirm.deleteAddress","Supprimer définitivement {address} ?"
"admin.confirm.deleteDomain","Supprimer {name} ?"
"admin.confirm.deleteMail","Supprimer ce courrier ?"
"admin.confirm.deleteSubdomain","Supprimer le sous-domaine {name} ?"
"admin.detail.addressId","ID d'adresse"
"admin.detail.attachmentMails","Courriers avec pièces jointes"
"admin.detail.autoCleanup","Nettoyage automatique"
"admin.detail.back","Retour"
"admin.detail.clearHistory","Effacer l'historique"
"admin.detail.clearMailHistory","Effacer l'historique du courrier"
"admin.detail.copyAddress","Copier l'adresse"
"admin.detail.created","Créé"
"admin.detail.currentStatus","Statut actuel"
"admin.detail.deleteAddress","Supprimer l'adresse"
"admin.detail.detectedVerification","Vérification détectée"
"admin.detail.emptyMailboxSubtitle","Aucun courrier reçu à cette adresse pour le moment."
"admin.detail.emptyMailboxTitle","Boîte de réception vide"
"admin.detail.generalInfo","Informations générales"
"admin.detail.incomingContent","Contenu entrant"
"admin.detail.incomingMails","Courrier entrant"
"admin.detail.ipSession","IP / session"
"admin.detail.lastAccess","Dernier accès"
"admin.detail.lastActivity","Dernière activité"
"admin.detail.linkedDomain","Domaine lié"
"admin.detail.noOtpSubtitle","Aucun OTP détecté dans le courrier pour cette adresse pour le moment."
"admin.detail.noOtpTitle","Aucun enregistrement OTP"
"admin.detail.notTracked","Non suivi"
"admin.detail.openAccess","Accès ouvert"
"admin.detail.otpCodes","Codes OTP"
"admin.detail.otpCount","Nombre d'OTP"
"admin.detail.otpHistory","Historique OTP"
"admin.detail.passwordProtected","Protégé par mot de passe"
"admin.detail.passwordProtection","Protection par mot de passe"
"admin.detail.retention","Rétention"
"admin.detail.retentionPeriod","Période de rétention"
"admin.detail.securityActions","Sécurité et actions"
"admin.detail.selectMailSubtitle","Cliquez sur l'icône œil dans le tableau pour voir les détails."
"admin.detail.selectMailTitle","Sélectionner un courrier"
"admin.detail.statistics","Statistiques"
"admin.detail.status","Statut"
"admin.detail.subtitle","Audit et historique de la boîte de réception"
"admin.detail.totalOtpRecords","Total des enregistrements OTP"
"admin.detail.username","Nom d'utilisateur"
"admin.dns.noteA","L'enregistrement A pointe le nom d'hôte vers l'IP du serveur"
"admin.dns.noteDkim","Clé de signature DKIM"
"admin.dns.noteDmarc","Politique DMARC"
"admin.dns.noteMx","L'enregistrement MX achemine le trafic de courrier vers ce nom d'hôte"
"admin.dns.noteSpf","SPF autorise le serveur d'envoi"
"admin.dns.noteVerification","Vérification de propriété du domaine"
"admin.errors.authRequired","Accès administrateur requis"
"admin.errors.endpointMissing","Point de terminaison introuvable"
"admin.errors.ipRequired","Entrez une IP valide"
"admin.errors.mailDetailFailed","Impossible de charger les détails du courrier"
"admin.errors.requestFailed","Échec de la requête"
"admin.flash.addressCleaned","Historique de l'adresse effacé"
"admin.flash.addressDeleted","Adresse supprimée"
"admin.flash.allDnsCopied","Toutes les valeurs DNS copiées"
"admin.flash.bulkDisabled","Accès en masse désactivé"
"admin.flash.bulkEnabled","Accès en masse activé"
"admin.flash.cleanupDone","Nettoyage terminé"
"admin.flash.copied","Copié"
"admin.flash.copyFailed","Échec de la copie"
"admin.flash.dnsRefreshed","Vérification DNS actualisée"
"admin.flash.domainActivated","Domaine activé"
"admin.flash.domainAdded","""{domain}"" ajouté"
"admin.flash.domainAddedWildcard"," (caractère générique actif)"
"admin.flash.domainDeactivated","Domaine désactivé"
"admin.flash.domainDeleted","""{name}"" supprimé"
"admin.flash.domainUpdated","Domaine mis à jour"
"admin.flash.exported","Export téléchargé"
"admin.flash.loginSuccess","Connexion administrateur réussie"
"admin.flash.mailDeleted","Courrier supprimé"
"admin.flash.packageUpdated","Forfait mis à jour"
"admin.flash.recordCopied","{title} copié"
"admin.flash.requestApproved","Demande approuvée"
"admin.flash.requestRejected","Demande rejetée"
"admin.flash.roleUpdated","Rôle mis à jour"
"admin.flash.subdomainAdded","Sous-domaine ""{domain}"" ajouté"
"admin.flash.subdomainDeleted","Sous-domaine ""{name}"" supprimé"
"admin.flash.userActivated","Utilisateur activé"
"admin.flash.userDeactivated","Utilisateur désactivé"
"admin.hero.eyebrow","Centre de contrôle"
"admin.hero.subtitle","Gestion du système MS Temp Mail, statistiques en direct et flux d'opérations."
"admin.hero.title","Panneau d'administration"
"admin.login.defaultPassword","Par défaut :"
"admin.login.loading","Vérification…"
"admin.login.passwordLabel","Mot de passe administrateur"
"admin.login.submit","Se connecter"
"admin.login.subtitle","Continuer avec les identifiants administrateur"
"admin.login.title","Panneau d'administration"
"admin.mix.attachment","Joint"
"admin.mix.normal","Normal"
"admin.stats.activeDomains","Domaines actifs"
"admin.stats.allTime","Depuis le début"
"admin.stats.last24h","Dernières 24 heures"
"admin.stats.newMessages","Nouveau courrier entrant"
"admin.stats.protectedCount","Protégés : {count}"
"admin.stats.totalAddresses","Total des adresses"
"admin.stats.totalDomains","Total : {count}"
"admin.stats.totalMail","Total du courrier"
"admin.system.activeDomains","Domaines actifs"
"admin.system.adminSession","Session administrateur"
"admin.system.cleanupPolicy","Politique de nettoyage"
"admin.system.cleanupPolicyValue","Automatique + manuel"
"admin.system.protectedMailbox","Boîtes de réception protégées"
"admin.system.smtpFlow","Flux SMTP"
"admin.table.action","Action"
"admin.table.date","Date"
"admin.table.sender","Expéditeur"
"admin.table.subject","Objet"
"admin.table.tag","Étiquette"
"admin.tabs.addresses","Adresses"
"admin.tabs.bulk","Pools en masse"
"admin.tabs.dashboard","Tableau de bord"
"admin.tabs.domains","Domaines"
"admin.tabs.emails","E-mails"
"admin.tabs.requests","Demandes"
"admin.tabs.settings","Paramètres"
"admin.tabs.users","Utilisateurs"
"admin.ui.addr.active","Adresses actives"
"admin.ui.addr.activeHint","Accès récent ou courrier présent"
"admin.ui.addr.all","Toutes les adresses"
"admin.ui.addr.clearFilter","Effacer le filtre"
"admin.ui.addr.colActions","Actions"
"admin.ui.addr.colActivity","Dernière activité"
"admin.ui.addr.colCreated","Créé"
"admin.ui.addr.colDomain","Domaine"
"admin.ui.addr.colEmail","Adresse e-mail"
"admin.ui.addr.colMailCount","Nombre de courriers"
"admin.ui.addr.colRetention","Rétention"
"admin.ui.addr.colStatus","Statut"
"admin.ui.addr.emptySubtitle","Effacez la recherche et les filtres puis réessayez."
"admin.ui.addr.emptyTitle","Aucune adresse trouvée"
"admin.ui.addr.expired","Expiré"
"admin.ui.addr.expiredHint","En attente de nettoyage"
"admin.ui.addr.fActive","Actif"
"admin.ui.addr.fDomain","Domaine"
"admin.ui.addr.fExpired","Expiré"
"admin.ui.addr.fIdle","Inactif"
"admin.ui.addr.fProtected","Protégé"
"admin.ui.addr.fStatus","Statut"
"admin.ui.addr.next","Suivant"
"admin.ui.addr.page","Page {page} / {total}"
"admin.ui.addr.prev","Précédent"
"admin.ui.addr.protected","Protégé par mot de passe"
"admin.ui.addr.protectedHint","Sécurité supplémentaire activée"
"admin.ui.addr.searchPlaceholder","Rechercher une adresse e-mail..."
"admin.ui.addr.showingRange","Affichage de {from}-{to} sur {total} adresses"
"admin.ui.addr.sortDomain","Domaine"
"admin.ui.addr.sortLastMail","Dernière activité"
"admin.ui.addr.sortNewest","Trier : Plus récent"
"admin.ui.addr.sortOldest","Trier : Plus ancien"
"admin.ui.addr.sortUsage","Nombre d'utilisations"
"admin.ui.addr.total","Total des adresses"
"admin.ui.addr.totalHint","Tous les enregistrements de boîtes de réception"
"admin.ui.bulk.accessOff","Désactivé"
"admin.ui.bulk.accessOn","Activé"
"admin.ui.bulk.activePool","Pools actifs"
"admin.ui.bulk.activePoolHint","Pools de préfixes liés aux utilisateurs"
"admin.ui.bulk.authorizedUsers","Utilisateurs autorisés"
"admin.ui.bulk.authorizedUsersHint","Pro et Pro+ uniquement"
"admin.ui.bulk.colAccess","Accès"
"admin.ui.bulk.colAddr","Adresses"
"admin.ui.bulk.colLastGen","Dernière génération"
"admin.ui.bulk.colOwner","Propriétaire"
"admin.ui.bulk.colPackage","Forfait"
"admin.ui.bulk.colPool","Pool"
"admin.ui.bulk.emptySubtitle","Les utilisateurs Pro/Pro+ que vous autorisez peuvent créer des pools ici."
"admin.ui.bulk.emptyTitle","Aucun pool en masse trouvé"
"admin.ui.bulk.generatedAddr","Adresses générées"
"admin.ui.bulk.generatedAddrHint","Inclus dans le quota du forfait normal"
"admin.ui.bulk.pools","Pools en masse ({count})"
"admin.ui.bulk.searchPlaceholder","Rechercher un utilisateur, un préfixe ou un domaine"
"admin.ui.dash.activityEmptySubtitle","Les nouvelles actions apparaîtront ici."
"admin.ui.dash.activityEmptyTitle","Aucune activité pour le moment"
"admin.ui.dash.colAction","Action"
"admin.ui.dash.colAddress","Adresses"
"admin.ui.dash.colCreated","Créé"
"admin.ui.dash.colRecipient","Destinataire"
"admin.ui.dash.colStatus","Statut"
"admin.ui.dash.domainEmptySubtitle","Ajoutez un nouveau domaine via l'action rapide ci-dessus."
"admin.ui.dash.domainEmptyTitle","Aucun domaine ajouté pour le moment"
"admin.ui.dash.domainMgmt","Gestion des domaines"
"admin.ui.dash.expiredAddr","Adresses expirées"
"admin.ui.dash.inactiveUsers","Utilisateurs inactifs"
"admin.ui.dash.mailMix","Distribution du courrier"
"admin.ui.dash.mailsEmptySubtitle","Les nouveaux messages seront listés ici à leur arrivée."
"admin.ui.dash.mailsEmptyTitle","Aucun courrier pour le moment"
"admin.ui.dash.manageRequests","Gérer les demandes"
"admin.ui.dash.mixEmptySubtitle","Le graphique circulaire se remplira à mesure que le courrier arrive."
"admin.ui.dash.mixEmptyTitle","Aucune donnée de distribution"
"admin.ui.dash.opsSummary","Résumé des opérations"
"admin.ui.dash.pendingPro","Demande Pro en attente"
"admin.ui.dash.protectedAddr","Adresses protégées par mot de passe"
"admin.ui.dash.recentActivity","Activité récente"
"admin.ui.dash.recentMails","Courrier récent"
"admin.ui.dash.security","Sécurité et nettoyage"
"admin.ui.dash.systemStatus","Statut du système"
"admin.ui.dash.tagIncoming","Entrant"
"admin.ui.dash.traffic","Trafic du courrier"
"admin.ui.dash.trafficEmptySubtitle","Le trafic apparaîtra ici à mesure que le courrier arrive."
"admin.ui.dash.trafficEmptyTitle","Aucune donnée pour le graphique"
"admin.ui.dash.viewAll","Voir tout"
"admin.ui.dash.viewAllMails","Voir tous les courriers"
"admin.ui.dnsModal.aRecordCopied","Enregistrement A copié"
"admin.ui.dnsModal.addLabel","Ajouter"
"admin.ui.dnsModal.close","Fermer"
"admin.ui.dnsModal.colAction","Action"
"admin.ui.dnsModal.colHost","Hôte"
"admin.ui.dnsModal.colType","Type"
"admin.ui.dnsModal.colValue","Valeur"
"admin.ui.dnsModal.copy","Copier"
"admin.ui.dnsModal.copyAll","Tout copier"
"admin.ui.dnsModal.copyAllValues","Copier toutes les valeurs"
"admin.ui.dnsModal.copyDomainName","Copier le nom de domaine"
"admin.ui.dnsModal.dnsRecords","Enregistrements DNS"
"admin.ui.dnsModal.domainDesc","Les enregistrements DNS requis pour votre domaine sélectionné sont affichés ci-dessous."
"admin.ui.dnsModal.domainName","Nom de domaine"
"admin.ui.dnsModal.domainNameCopied","Nom de domaine copié"
"admin.ui.dnsModal.howToBody","Allez dans le panneau DNS de votre domaine et ajoutez complètement les enregistrements ci-dessus."
"admin.ui.dnsModal.howToTitle","Comment utiliser ?"
"admin.ui.dnsModal.mxRecordCopied","Enregistrement MX copié"
"admin.ui.dnsModal.propagationBody","Les changements DNS se propagent généralement en 5 à 60 minutes."
"admin.ui.dnsModal.propagationTitle","Temps de propagation"
"admin.ui.dnsModal.recordStatus","Statut de l'enregistrement"
"admin.ui.dnsModal.refreshVerify","Actualiser la vérification"
"admin.ui.dnsModal.serverIp","IP du serveur"
"admin.ui.dnsModal.serverIpCopied","IP du serveur copiée"
"admin.ui.dnsModal.serverIpDesc","Tout le trafic de courrier sera acheminé via cette adresse IP."
"admin.ui.dnsModal.subtitle","Ajoutez les enregistrements DNS ci-dessous pour votre domaine."
"admin.ui.dnsModal.title","Configuration des enregistrements DNS"
"admin.ui.dnsModal.txtRecordCopied","Enregistrement TXT copié"
"admin.ui.dnsModal.verifyBody","Vous pouvez actualiser la vérification une fois les enregistrements ajoutés."
"admin.ui.dnsModal.verifyTitle","Vérification"
"admin.ui.dnsModal.wildcardCopied","Enregistrements DNS de sous-domaine générique copiés"
"admin.ui.dnsModal.wildcardDesc","Ajoutez les enregistrements DNS ci-dessous pour la prise en charge des sous-domaines. Avec ces enregistrements, tous les sous-domaines comme *.domain.com fonctionnent automatiquement."
"admin.ui.dnsModal.wildcardNote","Remarque :"
"admin.ui.dnsModal.wildcardNoteBody","tous les sous-domaines fonctionneront automatiquement. Les utilisateurs peuvent créer une adresse e-mail en choisissant n'importe quel sous-domaine."
"admin.ui.dnsModal.wildcardTitle","Enregistrements DNS de sous-domaine générique"
"admin.ui.domains.activate","Activer"
"admin.ui.domains.active","Actif"
"admin.ui.domains.activeAddr","{count} adresses actives"
"admin.ui.domains.activeTotal","{active} actives / {total} au total"
"admin.ui.domains.add","Ajouter"
"admin.ui.domains.addNew","Ajouter un domaine"
"admin.ui.domains.addrUnit","{count} adresses"
"admin.ui.domains.cardSubtitle","Gérez les domaines racine du système et modifiez les sous-domaines depuis un panneau unique."
"admin.ui.domains.closeForm","Fermer le formulaire"
"admin.ui.domains.collapse","Réduire"
"admin.ui.domains.copy","Copier"
"admin.ui.domains.createdAt","Créé le"
"admin.ui.domains.deactivate","Désactiver"
"admin.ui.domains.delete","Supprimer"
"admin.ui.domains.docs","Docs du domaine"
"admin.ui.domains.edit","Modifier"
"admin.ui.domains.emptySubtitle","Commencez par ajouter un nouveau domaine."
"admin.ui.domains.emptyTitle","Aucun domaine"
"admin.ui.domains.expand","Développer"
"admin.ui.domains.inactive","Inactif"
"admin.ui.domains.loadingSubdomains","Chargement des sous-domaines..."
"admin.ui.domains.mxRecord","Enregistrement MX"
"admin.ui.domains.noSubSubtitle","Utilisez le champ ci-dessus pour créer le premier sous-domaine de ce domaine racine."
"admin.ui.domains.noSubTitle","Aucun sous-domaine ajouté pour le moment"
"admin.ui.domains.refresh","Actualiser"
"admin.ui.domains.save","Enregistrer"
"admin.ui.domains.serverIp","IP du serveur"
"admin.ui.domains.subActive","{count} actifs"
"admin.ui.domains.subExample","Exemple : demo@{domain}"
"admin.ui.domains.subPlaceholder","Ajouter un nouveau sous-domaine (ex. mail, gmail, temp)"
"admin.ui.domains.subSectionHint","Vous pouvez créer et gérer des sous-domaines sous ce domaine racine."
"admin.ui.domains.subdomainCopied","Sous-domaine copié"
"admin.ui.domains.subdomains","Sous-domaines"
"admin.ui.domains.title","Gestion des domaines"
"admin.ui.domains.totalActiveAddr","Total des adresses actives"
"admin.ui.domains.wildcardActive","Caractère générique activé"
"admin.ui.domains.wildcardEnabled","Activé"
"admin.ui.domains.wildcardHint","Si activé, des sous-domaines comme *.domain.com peuvent être créés"
"admin.ui.domains.wildcardOff","Caractère générique désactivé"
"admin.ui.domains.wildcardRequired","Activez d'abord la prise en charge des caractères génériques pour créer des sous-domaines."
"admin.ui.domains.wildcardSupport","Prise en charge des caractères génériques"
"admin.ui.domains.wildcardTitle","Prise en charge des sous-domaines génériques"
"admin.ui.editDomain.close","Fermer"
"admin.ui.editDomain.copy","Copier"
"admin.ui.editDomain.domain","Domaine"
"admin.ui.editDomain.exampleBody","123.45.67.89"
"admin.ui.editDomain.exampleLabel","Exemple :"
"admin.ui.editDomain.noteBody","Seuls les chiffres et les points sont acceptés."
"admin.ui.editDomain.noteLabel","Remarque :"
"admin.ui.editDomain.save","Enregistrer"
"admin.ui.editDomain.serverIp","IP du serveur"
"admin.ui.editDomain.subtitle","Mettez à jour l'adresse IP. Le système régénère automatiquement les valeurs A, MX et TXT."
"admin.ui.editDomain.title","Modifier le domaine {domain}"
"admin.ui.editDomain.titleFallback","Modifier le domaine"
"admin.ui.editDomain.wildcardHint","Si activé, des sous-domaines comme *.domain.com peuvent être créés"
"admin.ui.editDomain.wildcardTitle","Prise en charge des sous-domaines génériques"
"admin.ui.emails.all","Tout le courrier ({count})"
"admin.ui.emails.colAction","Action"
"admin.ui.emails.colDate","Date"
"admin.ui.emails.colRecipient","Destinataire"
"admin.ui.emails.colSender","Expéditeur"
"admin.ui.emails.colSubject","Objet"
"admin.ui.emails.colTag","Étiquette"
"admin.ui.emails.copyOtp","Copier l'OTP"
"admin.ui.emails.detail","Détail du courrier"
"admin.ui.emails.detailEmptySubtitle","Cliquez sur l'icône œil dans la liste pour voir les détails."
"admin.ui.emails.detailEmptyTitle","Sélectionner un courrier"
"admin.ui.emails.emptySubtitle","Les courriers seront listés ici une fois que le système commencera à en recevoir."
"admin.ui.emails.emptyTitle","Aucun courrier pour le moment"
"admin.ui.emails.next","Suivant"
"admin.ui.emails.page","Page {page}"
"admin.ui.emails.prev","Précédent"
"admin.ui.emails.tagAttached","Joint"
"admin.ui.emails.tagNormal","Normal"
"admin.ui.requests.alreadyPro","Déjà Pro"
"admin.ui.requests.approve","Approuver"
"admin.ui.requests.approved","Approuvée"
"admin.ui.requests.emptySubtitle","Les nouvelles demandes Pro apparaissent ici."
"admin.ui.requests.emptyTitle","Aucune demande en attente"
"admin.ui.requests.noMessage","Aucun message laissé."
"admin.ui.requests.pending","En attente"
"admin.ui.requests.reject","Rejeter"
"admin.ui.requests.rejected","Rejetée"
"admin.ui.requests.title","Demandes Pro ({count})"
"admin.ui.settings.activeDomainCount","Nombre de domaines actifs"
"admin.ui.settings.adminAuth","Authentification administrateur"
"admin.ui.settings.adminAuthValue","JWT + repli par mot de passe"
"admin.ui.settings.cleanupPolicy","Politique de nettoyage"
"admin.ui.settings.cleanupPolicyValue","Manuel + basé sur service"
"admin.ui.settings.defaultRetention","Rétention des données par défaut"
"admin.ui.settings.defaultRetentionValue","7 jours / déclenchement manuel uniquement"
"admin.ui.settings.defaultSoundDesc","Un effet de carillon lumineux et superposé."
"admin.ui.settings.defaultSoundName","Carillon de verre"
"admin.ui.settings.general","Paramètres généraux"
"admin.ui.settings.logout","Déconnecter la session administrateur"
"admin.ui.settings.mailVolume","Volume de courrier"
"admin.ui.settings.notifSound","Son de notification"
"admin.ui.settings.opsSummary","Résumé des opérations"
"admin.ui.settings.pendingRequests","Demandes en attente"
"admin.ui.settings.preview","Aperçu"
"admin.ui.settings.protectedMailbox","Boîtes de réception protégées par mot de passe"
"admin.ui.settings.refreshAll","Actualiser toutes les données"
"admin.ui.settings.selectedSignal","Signal sélectionné"
"admin.ui.settings.totalUsers","Total des utilisateurs"
