key,en
"accountModal.generalTitle","Appearance and defaults"
"accountModal.language","Language"
"accountModal.lastActive","Last active"
"accountModal.limitsTitle","Usage and plan"
"accountModal.locked","Locked"
"accountModal.loginFail","Failed"
"accountModal.loginHistory","Login history"
"accountModal.loginSuccess","Success"
"accountModal.mailCount","Mail count"
"accountModal.mailRetention","Mail retention period"
"accountModal.newMail","New mail alerts"
"accountModal.newMailDesc","Notify me when a new message arrives."
"accountModal.newPassword","New password"
"accountModal.newPasswordRepeat","Repeat new password"
"accountModal.noDomains","No domains."
"accountModal.noLoginHistory","No login history found."
"accountModal.noSessions","No active sessions found."
"accountModal.notificationPrefs","Notification preferences"
"accountModal.notificationSound","Notification sound"
"accountModal.notifications","Notification preferences"
"accountModal.otp","OTP alerts"
"accountModal.otpNotification","OTP alerts"
"accountModal.otpNotificationDesc","Show special alerts for one-time codes."
"accountModal.packageLimits","Limits are shown per package."
"accountModal.pendingEmail","Pending email"
"accountModal.planTitle","Plan"
"accountModal.preview","Preview"
"accountModal.profilePhoto","Upload photo"
"accountModal.profileSave","Save profile"
"accountModal.profileTitle","Account details"
"accountModal.quickSave","Save"
"accountModal.quickStatus","Quick status"
"accountModal.quotaUsed","address quota used"
"accountModal.ready","Ready"
"accountModal.refresh","Refresh"
"accountModal.reset","Reset"
"accountModal.retention","Mail retention"
"accountModal.retentionAndSound","Retention and sound"
"accountModal.securityAlerts","Security alerts"
"accountModal.securityAlertsDesc","Notify me about suspicious sign-ins."
"accountModal.securityStatus","Security status"
"accountModal.selectOption","Select"
"accountModal.sessionsCloseNote","tab to close sign-ins."
"accountModal.sessionsHint","You can close open devices here."
"accountModal.sessionsTitle","Active sessions"
"accountModal.statAddress","Address"
"accountModal.statFavoriteDomain","Favorite domain"
"accountModal.statMail","Mail"
"accountModal.subtitle","Editing Center"
"accountModal.suspicious","Suspicious"
"accountModal.tabs.general","General"
"accountModal.tabs.preferences","Preferences"
"accountModal.tabs.profile","Profile"
"accountModal.tabs.security","Security"
"accountModal.tabs.sessions","Sessions"
"accountModal.tabs.usage","Usage"
"accountModal.tabsSubtitle.general","Appearance and core settings"
"accountModal.tabsSubtitle.preferences","Notifications and domains"
"accountModal.tabsSubtitle.profile","Name, email and photo"
"accountModal.tabsSubtitle.security","Password and account protection"
"accountModal.tabsSubtitle.sessions","Devices and logins"
"accountModal.tabsSubtitle.usage","Plan and quota info"
"accountModal.themeDark","Dark"
"accountModal.themeLight","Light"
"accountModal.themeSystem","System"
"accountModal.tipBody","You can switch tabs without saving. Profile and security sections work directly in this window."
"accountModal.tipTitle","Tip"
"accountModal.title","Account Settings"
"accountModal.updatePassword","Update password"
"accountModal.upgradeLimit","Upgrade Limit"
"accountModal.upgradeable","Upgradeable"
"accountModal.used","Used"
"accountModal.usedDomain","Domains used"
"accountModal.username","Username"
"accountModal.usernameOnce","Can be used once"
"accountModal.usernameRight","Username right"
"addressBar.activeBadge","Active"
"addressBar.activeProtected","Address is active and password protected"
"addressBar.activeReady","Address is active and ready to use"
"addressBar.chooseDomain","Choose Domain"
"addressBar.confirmRandomSubtitle","This will create a fresh address and the current one will not be kept."
"addressBar.confirmRandomTitle","Generate a random address?"
"addressBar.confirmRefreshSubtitle","A new address will be created and your current address will be replaced."
"addressBar.confirmRefreshTitle","Refresh this address?"
"addressBar.copied","Copied"
"addressBar.copy","Copy"
"addressBar.domainsLoadError","Could not load the domain list. Refresh the page or try again later."
"addressBar.hoursAgo","{n}h"
"addressBar.justNow","just now"
"addressBar.loadingAction","Preparing..."
"addressBar.mainDomain","Main Domain"
"addressBar.minutesAgo","{n}m"
"addressBar.noDomain","No domains yet"
"addressBar.noDomainsHint","No domains have been added yet. Add one in the admin panel."
"addressBar.noHistory","No address history yet."
"addressBar.noPassworded","No password-protected addresses."
"addressBar.noSubdomains","No subdomains added yet"
"addressBar.openAddress","Open Address"
"addressBar.passwordedBadge","Passworded"
"addressBar.passwordedList","All Passworded Emails"
"addressBar.protect","Protect"
"addressBar.random","Random"
"addressBar.recentHint","Your latest opened addresses"
"addressBar.recentUsed","Recent"
"addressBar.refresh","Refresh"
"addressBar.safeSubtitle","Emails are received anonymously and encrypted."
"addressBar.safeTitle","Ready and Secure"
"addressBar.selected","Selected"
"addressBar.subtitle","Your address becomes active instantly and messages land in the inbox below."
"addressBar.title","Your Temporary Email Address"
"admin.actions.addDomain","Add Domain"
"admin.actions.cleanup","Cleanup"
"admin.actions.export","Export"
"admin.activity.addressCreated","Address created"
"admin.activity.domainActive","Domain active"
"admin.activity.domainInactive","Domain inactive"
"admin.activity.requestApproved","Request approved"
"admin.activity.requestPending","Request pending"
"admin.activity.requestRejected","Request rejected"
"admin.common.active","Active"
"admin.common.attachment","Attachment"
"admin.common.closed","Closed"
"admin.common.copy","Copy"
"admin.common.copyOtp","Copy OTP"
"admin.common.htmlContent","(HTML content)"
"admin.common.no","No"
"admin.common.noSubject","(No subject)"
"admin.common.open","Open"
"admin.common.waiting","Waiting"
"admin.common.yes","Yes"
"admin.confirm.cleanupAddress","Clear mail history for {address}?"
"admin.confirm.cleanupAll","Clean up all expired data?"
"admin.confirm.deleteAddress","Permanently delete {address}?"
"admin.confirm.deleteDomain","Delete {name}?"
"admin.confirm.deleteMail","Delete this mail?"
"admin.confirm.deleteSubdomain","Delete subdomain {name}?"
"admin.detail.addressId","Address ID"
"admin.detail.attachmentMails","Mails with attachments"
"admin.detail.autoCleanup","Auto cleanup"
"admin.detail.back","Back"
"admin.detail.clearHistory","Clear History"
"admin.detail.clearMailHistory","Clear Mail History"
"admin.detail.copyAddress","Copy Address"
"admin.detail.created","Created"
"admin.detail.currentStatus","Current status"
"admin.detail.deleteAddress","Delete Address"
"admin.detail.detectedVerification","Detected verification"
"admin.detail.emptyMailboxSubtitle","No mail received at this address yet."
"admin.detail.emptyMailboxTitle","Mailbox empty"
"admin.detail.generalInfo","General Info"
"admin.detail.incomingContent","Incoming content"
"admin.detail.incomingMails","Incoming Mail"
"admin.detail.ipSession","IP / session"
"admin.detail.lastAccess","Last access"
"admin.detail.lastActivity","Last Activity"
"admin.detail.linkedDomain","Linked domain"
"admin.detail.noOtpSubtitle","No OTP detected in mail for this address yet."
"admin.detail.noOtpTitle","No OTP records"
"admin.detail.notTracked","Not tracked"
"admin.detail.openAccess","Open access"
"admin.detail.otpCodes","OTP Codes"
"admin.detail.otpCount","OTP count"
"admin.detail.otpHistory","OTP History"
"admin.detail.passwordProtected","Password protected"
"admin.detail.passwordProtection","Password protection"
"admin.detail.retention","Retention"
"admin.detail.retentionPeriod","Retention period"
"admin.detail.securityActions","Security & Actions"
"admin.detail.selectMailSubtitle","Click the eye icon in the table to see details."
"admin.detail.selectMailTitle","Select a mail"
"admin.detail.statistics","Statistics"
"admin.detail.status","Status"
"admin.detail.subtitle","Mailbox audit and history"
"admin.detail.totalOtpRecords","Total OTP records"
"admin.detail.username","Username"
"admin.dns.noteA","A record points the hostname to the server IP"
"admin.dns.noteDkim","DKIM signing key"
"admin.dns.noteDmarc","DMARC policy"
"admin.dns.noteMx","MX record routes mail traffic to this hostname"
"admin.dns.noteSpf","SPF authorizes the sending server"
"admin.dns.noteVerification","Domain ownership verification"
"admin.errors.authRequired","Admin access required"
"admin.errors.endpointMissing","Endpoint not found"
"admin.errors.ipRequired","Enter a valid IP"
"admin.errors.mailDetailFailed","Could not load mail detail"
"admin.errors.requestFailed","Request failed"
"admin.flash.addressCleaned","Address history cleared"
"admin.flash.addressDeleted","Address deleted"
"admin.flash.allDnsCopied","All DNS values copied"
"admin.flash.bulkDisabled","Bulk access disabled"
"admin.flash.bulkEnabled","Bulk access enabled"
"admin.flash.cleanupDone","Cleanup completed"
"admin.flash.copied","Copied"
"admin.flash.copyFailed","Copy failed"
"admin.flash.dnsRefreshed","DNS verification refreshed"
"admin.flash.domainActivated","Domain activated"
"admin.flash.domainAdded","""{domain}"" added"
"admin.flash.domainAddedWildcard"," (wildcard active)"
"admin.flash.domainDeactivated","Domain deactivated"
"admin.flash.domainDeleted","""{name}"" deleted"
"admin.flash.domainUpdated","Domain updated"
"admin.flash.exported","Export downloaded"
"admin.flash.loginSuccess","Admin login successful"
"admin.flash.mailDeleted","Mail deleted"
"admin.flash.packageUpdated","Package updated"
"admin.flash.recordCopied","{title} copied"
"admin.flash.requestApproved","Request approved"
"admin.flash.requestRejected","Request rejected"
"admin.flash.roleUpdated","Role updated"
"admin.flash.subdomainAdded","""{domain}"" subdomain added"
"admin.flash.subdomainDeleted","""{name}"" subdomain deleted"
"admin.flash.userActivated","User activated"
"admin.flash.userDeactivated","User deactivated"
"admin.hero.eyebrow","Control center"
"admin.hero.subtitle","MS Temp Mail system management, live stats and operation flows."
"admin.hero.title","Admin Panel"
"admin.login.defaultPassword","Default:"
"admin.login.loading","Checking…"
"admin.login.passwordLabel","Admin password"
"admin.login.submit","Sign In"
"admin.login.subtitle","Continue with admin credentials"
"admin.login.title","Admin Panel"
"admin.mix.attachment","Attached"
"admin.mix.normal","Normal"
"admin.stats.activeDomains","Active Domains"
"admin.stats.allTime","All time"
"admin.stats.last24h","Last 24 Hours"
"admin.stats.newMessages","New incoming mail"
"admin.stats.protectedCount","Passworded: {count}"
"admin.stats.totalAddresses","Total Addresses"
"admin.stats.totalDomains","Total: {count}"
"admin.stats.totalMail","Total Mail"
"admin.system.activeDomains","Active domains"
"admin.system.adminSession","Admin session"
"admin.system.cleanupPolicy","Cleanup policy"
"admin.system.cleanupPolicyValue","Automatic + manual"
"admin.system.protectedMailbox","Protected mailboxes"
"admin.system.smtpFlow","SMTP flow"
"admin.table.action","Action"
"admin.table.date","Date"
"admin.table.sender","Sender"
"admin.table.subject","Subject"
"admin.table.tag","Tag"
"admin.tabs.addresses","Addresses"
"admin.tabs.bulk","Bulk Pools"
"admin.tabs.dashboard","Dashboard"
"admin.tabs.domains","Domains"
"admin.tabs.emails","Emails"
"admin.tabs.requests","Requests"
"admin.tabs.settings","Settings"
"admin.tabs.users","Users"
"admin.ui.addr.active","Active Addresses"
"admin.ui.addr.activeHint","Recent access or mail present"
"admin.ui.addr.all","All Addresses"
"admin.ui.addr.clearFilter","Clear Filter"
"admin.ui.addr.colActions","Actions"
"admin.ui.addr.colActivity","Last Activity"
"admin.ui.addr.colCreated","Created"
"admin.ui.addr.colDomain","Domain"
"admin.ui.addr.colEmail","Email Address"
"admin.ui.addr.colMailCount","Mail Count"
"admin.ui.addr.colRetention","Retention"
"admin.ui.addr.colStatus","Status"
"admin.ui.addr.emptySubtitle","Clear the search and filters and try again."
"admin.ui.addr.emptyTitle","No addresses found"
"admin.ui.addr.expired","Expired"
"admin.ui.addr.expiredHint","Awaiting cleanup"
"admin.ui.addr.fActive","Active"
"admin.ui.addr.fDomain","Domain"
"admin.ui.addr.fExpired","Expired"
"admin.ui.addr.fIdle","Idle"
"admin.ui.addr.fProtected","Passworded"
"admin.ui.addr.fStatus","Status"
"admin.ui.addr.next","Next"
"admin.ui.addr.page","Page {page} / {total}"
"admin.ui.addr.prev","Previous"
"admin.ui.addr.protected","Password Protected"
"admin.ui.addr.protectedHint","Extra security on"
"admin.ui.addr.searchPlaceholder","Search email address..."
"admin.ui.addr.showingRange","Showing {from}-{to} of {total} addresses"
"admin.ui.addr.sortDomain","Domain"
"admin.ui.addr.sortLastMail","Last activity"
"admin.ui.addr.sortNewest","Sort: Newest"
"admin.ui.addr.sortOldest","Sort: Oldest"
"admin.ui.addr.sortUsage","Usage count"
"admin.ui.addr.total","Total Addresses"
"admin.ui.addr.totalHint","All mailbox records"
"admin.ui.bulk.accessOff","Off"
"admin.ui.bulk.accessOn","On"
"admin.ui.bulk.activePool","Active Pools"
"admin.ui.bulk.activePoolHint","Prefix pools linked to users"
"admin.ui.bulk.authorizedUsers","Authorized Users"
"admin.ui.bulk.authorizedUsersHint","Pro and Pro+ only"
"admin.ui.bulk.colAccess","Access"
"admin.ui.bulk.colAddr","Addresses"
"admin.ui.bulk.colLastGen","Last generation"
"admin.ui.bulk.colOwner","Owner"
"admin.ui.bulk.colPackage","Package"
"admin.ui.bulk.colPool","Pool"
"admin.ui.bulk.emptySubtitle","Pro/Pro+ users you authorize can create pools here."
"admin.ui.bulk.emptyTitle","No bulk pools found"
"admin.ui.bulk.generatedAddr","Generated Addresses"
"admin.ui.bulk.generatedAddrHint","Included in the normal package quota"
"admin.ui.bulk.pools","Bulk Pools ({count})"
"admin.ui.bulk.searchPlaceholder","Search user, prefix or domain"
"admin.ui.dash.activityEmptySubtitle","New actions will appear here."
"admin.ui.dash.activityEmptyTitle","No activity yet"
"admin.ui.dash.colAction","Action"
"admin.ui.dash.colAddress","Addresses"
"admin.ui.dash.colCreated","Created"
"admin.ui.dash.colRecipient","Recipient"
"admin.ui.dash.colStatus","Status"
"admin.ui.dash.domainEmptySubtitle","Add a new domain using the quick action above."
"admin.ui.dash.domainEmptyTitle","No domains added yet"
"admin.ui.dash.domainMgmt","Domain Management"
"admin.ui.dash.expiredAddr","Expired Addresses"
"admin.ui.dash.inactiveUsers","Inactive Users"
"admin.ui.dash.mailMix","Mail Distribution"
"admin.ui.dash.mailsEmptySubtitle","New messages will be listed here when they arrive."
"admin.ui.dash.mailsEmptyTitle","No mail yet"
"admin.ui.dash.manageRequests","Manage Requests"
"admin.ui.dash.mixEmptySubtitle","The pie chart will fill as mail arrives."
"admin.ui.dash.mixEmptyTitle","No distribution data"
"admin.ui.dash.opsSummary","Operation summary"
"admin.ui.dash.pendingPro","Pending Pro Request"
"admin.ui.dash.protectedAddr","Passworded Addresses"
"admin.ui.dash.recentActivity","Recent Activity"
"admin.ui.dash.recentMails","Recent Mail"
"admin.ui.dash.security","Security & Cleanup"
"admin.ui.dash.systemStatus","System Status"
"admin.ui.dash.tagIncoming","Incoming"
"admin.ui.dash.traffic","Mail Traffic"
"admin.ui.dash.trafficEmptySubtitle","Traffic will appear here as mail arrives."
"admin.ui.dash.trafficEmptyTitle","No data for chart"
"admin.ui.dash.viewAll","View All"
"admin.ui.dash.viewAllMails","View all mail"
"admin.ui.dnsModal.aRecordCopied","A Record copied"
"admin.ui.dnsModal.addLabel","Add"
"admin.ui.dnsModal.close","Close"
"admin.ui.dnsModal.colAction","Action"
"admin.ui.dnsModal.colHost","Host"
"admin.ui.dnsModal.colType","Type"
"admin.ui.dnsModal.colValue","Value"
"admin.ui.dnsModal.copy","Copy"
"admin.ui.dnsModal.copyAll","Copy All"
"admin.ui.dnsModal.copyAllValues","Copy All Values"
"admin.ui.dnsModal.copyDomainName","Copy domain name"
"admin.ui.dnsModal.dnsRecords","DNS Records"
"admin.ui.dnsModal.domainDesc","The DNS records required for your selected domain are shown below."
"admin.ui.dnsModal.domainName","Domain Name"
"admin.ui.dnsModal.domainNameCopied","Domain name copied"
"admin.ui.dnsModal.howToBody","Go to your domain's DNS panel and add the records above completely."
"admin.ui.dnsModal.howToTitle","How to Use?"
"admin.ui.dnsModal.mxRecordCopied","MX Record copied"
"admin.ui.dnsModal.propagationBody","DNS changes usually propagate within 5-60 minutes."
"admin.ui.dnsModal.propagationTitle","Propagation Time"
"admin.ui.dnsModal.recordStatus","Record Status"
"admin.ui.dnsModal.refreshVerify","Refresh Verification"
"admin.ui.dnsModal.serverIp","Server IP"
"admin.ui.dnsModal.serverIpCopied","Server IP copied"
"admin.ui.dnsModal.serverIpDesc","All email traffic will be routed through this IP address."
"admin.ui.dnsModal.subtitle","Add the DNS records below for your domain."
"admin.ui.dnsModal.title","DNS Record Setup"
"admin.ui.dnsModal.txtRecordCopied","TXT Record copied"
"admin.ui.dnsModal.verifyBody","You can refresh verification after the records are added."
"admin.ui.dnsModal.verifyTitle","Verification"
"admin.ui.dnsModal.wildcardCopied","Wildcard Subdomain DNS records copied"
"admin.ui.dnsModal.wildcardDesc","Add the DNS records below for subdomain support. With these records, all subdomains like *.domain.com work automatically."
"admin.ui.dnsModal.wildcardNote","Note:"
"admin.ui.dnsModal.wildcardNoteBody","all subdomains will work automatically. Users can create a mail address by choosing any subdomain."
"admin.ui.dnsModal.wildcardTitle","Wildcard Subdomain DNS Records"
"admin.ui.domains.activate","Activate"
"admin.ui.domains.active","Active"
"admin.ui.domains.activeAddr","{count} active addresses"
"admin.ui.domains.activeTotal","{active} active / {total} total"
"admin.ui.domains.add","Add"
"admin.ui.domains.addNew","Add Domain"
"admin.ui.domains.addrUnit","{count} addresses"
"admin.ui.domains.cardSubtitle","Manage the root domains in the system and edit subdomains from a single panel."
"admin.ui.domains.closeForm","Close Form"
"admin.ui.domains.collapse","Collapse"
"admin.ui.domains.copy","Copy"
"admin.ui.domains.createdAt","Created At"
"admin.ui.domains.deactivate","Deactivate"
"admin.ui.domains.delete","Delete"
"admin.ui.domains.docs","Domain Docs"
"admin.ui.domains.edit","Edit"
"admin.ui.domains.emptySubtitle","Start by adding a new domain."
"admin.ui.domains.emptyTitle","No domains"
"admin.ui.domains.expand","Expand"
"admin.ui.domains.inactive","Inactive"
"admin.ui.domains.loadingSubdomains","Loading subdomains..."
"admin.ui.domains.mxRecord","MX Record"
"admin.ui.domains.noSubSubtitle","Use the field above to create the first subdomain for this root domain."
"admin.ui.domains.noSubTitle","No subdomains added yet"
"admin.ui.domains.refresh","Refresh"
"admin.ui.domains.save","Save"
"admin.ui.domains.serverIp","Server IP"
"admin.ui.domains.subActive","{count} active"
"admin.ui.domains.subExample","Example: demo@{domain}"
"admin.ui.domains.subPlaceholder","Add new subdomain (e.g. mail, gmail, temp)"
"admin.ui.domains.subSectionHint","You can create and manage subdomains under this root domain."
"admin.ui.domains.subdomainCopied","Subdomain copied"
"admin.ui.domains.subdomains","Subdomains"
"admin.ui.domains.title","Domain Management"
"admin.ui.domains.totalActiveAddr","Total Active Addresses"
"admin.ui.domains.wildcardActive","Wildcard On"
"admin.ui.domains.wildcardEnabled","Enabled"
"admin.ui.domains.wildcardHint","If enabled, subdomains like *.domain.com can be created"
"admin.ui.domains.wildcardOff","Wildcard Off"
"admin.ui.domains.wildcardRequired","Enable wildcard support first to create subdomains."
"admin.ui.domains.wildcardSupport","Wildcard Support"
"admin.ui.domains.wildcardTitle","Wildcard Subdomain Support"
"admin.ui.editDomain.close","Close"
"admin.ui.editDomain.copy","Copy"
"admin.ui.editDomain.domain","Domain"
"admin.ui.editDomain.exampleBody","123.45.67.89"
"admin.ui.editDomain.exampleLabel","Example:"
"admin.ui.editDomain.noteBody","Only digits and dots are accepted."
"admin.ui.editDomain.noteLabel","Note:"
"admin.ui.editDomain.save","Save"
"admin.ui.editDomain.serverIp","Server IP"
"admin.ui.editDomain.subtitle","Update the IP address. The system regenerates A, MX and TXT values automatically."
"admin.ui.editDomain.title","Edit {domain} Domain"
"admin.ui.editDomain.titleFallback","Edit Domain"
"admin.ui.editDomain.wildcardHint","If enabled, subdomains like *.domain.com can be created"
"admin.ui.editDomain.wildcardTitle","Wildcard Subdomain Support"
"admin.ui.emails.all","All Mail ({count})"
"admin.ui.emails.colAction","Action"
"admin.ui.emails.colDate","Date"
"admin.ui.emails.colRecipient","Recipient"
"admin.ui.emails.colSender","Sender"
"admin.ui.emails.colSubject","Subject"
"admin.ui.emails.colTag","Tag"
"admin.ui.emails.copyOtp","Copy OTP"
"admin.ui.emails.detail","Mail Detail"
"admin.ui.emails.detailEmptySubtitle","Click the eye icon in the list to view details."
"admin.ui.emails.detailEmptyTitle","Select a mail"
"admin.ui.emails.emptySubtitle","Mail will be listed here once the system starts receiving."
"admin.ui.emails.emptyTitle","No mail yet"
"admin.ui.emails.next","Next"
"admin.ui.emails.page","Page {page}"
"admin.ui.emails.prev","Previous"
"admin.ui.emails.tagAttached","Attached"
"admin.ui.emails.tagNormal","Normal"
"admin.ui.requests.alreadyPro","Already Pro"
"admin.ui.requests.approve","Approve"
"admin.ui.requests.approved","Approved"
"admin.ui.requests.emptySubtitle","New Pro requests appear here."
"admin.ui.requests.emptyTitle","No pending requests"
"admin.ui.requests.noMessage","No message left."
"admin.ui.requests.pending","Pending"
"admin.ui.requests.reject","Reject"
"admin.ui.requests.rejected","Rejected"
"admin.ui.requests.title","Pro Requests ({count})"
"admin.ui.settings.activeDomainCount","Active Domain Count"
"admin.ui.settings.adminAuth","Admin authentication"
"admin.ui.settings.adminAuthValue","JWT + password fallback"
"admin.ui.settings.cleanupPolicy","Cleanup Policy"
"admin.ui.settings.cleanupPolicyValue","Manual + service based"
"admin.ui.settings.defaultRetention","Default Data Retention"
"admin.ui.settings.defaultRetentionValue","7 days / manual trigger only"
"admin.ui.settings.defaultSoundDesc","A layered, bright chime effect."
"admin.ui.settings.defaultSoundName","Glass Chime"
"admin.ui.settings.general","General Settings"
"admin.ui.settings.logout","Sign Out Admin Session"
"admin.ui.settings.mailVolume","Mail Volume"
"admin.ui.settings.notifSound","Notification Sound"
"admin.ui.settings.opsSummary","Operation Summary"
"admin.ui.settings.pendingRequests","Pending Requests"
"admin.ui.settings.preview","Preview"
"admin.ui.settings.protectedMailbox","Passworded Mailboxes"
"admin.ui.settings.refreshAll","Refresh All Data"
"admin.ui.settings.selectedSignal","Selected Signal"
"admin.ui.settings.totalUsers","Total Users"
"admin.ui.users.activate","Activate"
"admin.ui.users.active","Active"
"admin.ui.users.admin","Admin"
"admin.ui.users.adminPackage","Admin Package"
"admin.ui.users.bulkClose","Disable Bulk"
"admin.ui.users.bulkOff","Off"
"admin.ui.users.bulkOn","On"
"admin.ui.users.bulkOpen","Enable Bulk"
"admin.ui.users.colAction","Action"
"admin.ui.users.colAddr","Addresses"
"admin.ui.users.colBulk","Bulk"
"admin.ui.users.colLastLogin","Last login"
"admin.ui.users.colMail","Mail"
"admin.ui.users.colRole","Role"
"admin.ui.users.colStatus","Status"
"admin.ui.users.colUser","User"
"admin.ui.users.deactivate","Deactivate"
"admin.ui.users.emptySubtitle","Registered users are listed here."
"admin.ui.users.emptyTitle","No users found"
"admin.ui.users.free","Free"
"admin.ui.users.inactive","Inactive"
"admin.ui.users.pools","{count} pools"
"admin.ui.users.pro","Pro"
"admin.ui.users.proPlus","Pro+"
"admin.ui.users.title","Users ({count})"
"adminBulk.activate","Activate"
"adminBulk.activePools","Active pools"
"adminBulk.addressCount","Count"
"adminBulk.adminGeneration","Admin generation"
"adminBulk.allStatuses","All statuses"
"adminBulk.archive","Archive"
"adminBulk.eyebrow","ADMIN BULK CONTROL"
"adminBulk.generateFailed","Generation failed"
"adminBulk.generateSuccess","{count} addresses generated"
"adminBulk.generateWithOverride","Generate with admin override"
"adminBulk.generating","Generating…"
"adminBulk.guideActive","Pool open, generation can continue"
"adminBulk.guideActiveLabel","active"
"adminBulk.guideArchive","Pool closed"
"adminBulk.guideArchiveLabel","archived"
"adminBulk.guideBody","Manage pool statuses here."
"adminBulk.guidePause","Generation paused"
"adminBulk.guidePauseLabel","paused"
"adminBulk.guideTitle","Control"
"adminBulk.ownerQuotaNote","Owner quota: {count}"
"adminBulk.pause","Pause"
"adminBulk.poolOperations","POOLS"
"adminBulk.poolOwner","Pool owner"
"adminBulk.searchPlaceholder","Search prefix, owner or domain"
"adminBulk.selectOwnerPrefixDomain","Select owner, prefix and domain"
"adminBulk.statusActive","active"
"adminBulk.statusArchived","archived"
"adminBulk.statusPaused","paused"
"adminBulk.subtitle","Bulk generation with quota override on behalf of users and pool status control."
"adminBulk.title","Bulk Pool Management"
"adminBulk.viewForCsv","View CSV"
"app.accessOpened","Address access opened"
"app.accountRail","Account"
"app.accountSettings","Account Settings"
"app.addressCreatedPassworded","Password-protected address created"
"app.addressCreatedReady","New address ready"
"app.addressOpened","Address opened"
"app.admin","Admin"
"app.adminPanel","Admin Panel"
"app.adminRequired","Admin access required"
"app.automationGuestHint","Manage API keys and webhooks from your registered account."
"app.automationGuestTitle","Sign in for automation"
"app.automationRail","Automation"
"app.bodyPlaceholder","Write your message"
"app.brandSubtitle","Mamak Studio temporary mail workspace"
"app.bulkAdminRail","Bulk management"
"app.cancel","Cancel"
"app.close","Close"
"app.composeBody","Body"
"app.composeFrom","From"
"app.composeSubject","Subject"
"app.composeTitle","New Mail"
"app.composeTo","To"
"app.continue","Continue"
"app.copyFail","Copy failed"
"app.copySuccess","Copied"
"app.deleted","Deleted"
"app.docsRail","Docs"
"app.domains","Domains"
"app.domainsRail","Domains"
"app.domainsSubtitle","Currently available domains are listed below."
"app.errorOccurred","Something went wrong"
"app.guestContinue","Continue as guest"
"app.guestHint","Admin: admin / admin123"
"app.guestMode","Guest"
"app.guestModeDesc","Start without signing in"
"app.inbox","Inbox"
"app.loading","Loading..."
"app.logout","Log Out"
"app.mobileNavAria","Mobile menu"
"app.newMailToast","New mail: {sender}"
"app.noActiveDomains","No active domains yet."
"app.operationsRail","Operations"
"app.otpCopied","OTP: {otp}"
"app.otpCopyFail","OTP could not be copied"
"app.passwordLabel","Password"
"app.passwordPlaceholder","Password"
"app.passwordRequiredSubtitle","{address} is password protected"
"app.passwordRequiredTitle","Password Required"
"app.passwordSaved","Password saved"
"app.preparing","Preparing {name}…"
"app.proFeatureAddresses","Unlimited address creation"
"app.proFeatureDomains","Custom domain support"
"app.proFeatureMailStorage","5000 mail storage"
"app.proFeatureRetention","365-day retention"
"app.proFeatureWebhooks","Webhook integration"
"app.proFeaturesTitle","Pro Package Features"
"app.proMessage","Message (optional)"
