key,es
"admin.actions.cleanup","Limpieza"
"admin.actions.export","Exportar"
"admin.activity.addressCreated","Dirección creada"
"admin.activity.domainActive","Dominio activo"
"admin.activity.domainInactive","Dominio inactivo"
"admin.activity.requestApproved","Solicitud aprobada"
"admin.activity.requestPending","Solicitud pendiente"
"admin.activity.requestRejected","Solicitud rechazada"
"admin.common.active","Activo"
"admin.common.attachment","Adjunto"
"admin.common.closed","Cerrado"
"admin.common.copy","Copiar"
"admin.common.copyOtp","Copiar OTP"
"admin.common.htmlContent","(contenido HTML)"
"admin.common.no","No"
"admin.common.noSubject","(Sin asunto)"
"admin.common.open","Abrir"
"admin.common.waiting","En espera"
"admin.common.yes","Sí"
"admin.confirm.cleanupAddress","¿Limpiar el historial de correo de {address}?"
"admin.confirm.cleanupAll","¿Limpiar todos los datos caducados?"
"admin.confirm.deleteAddress","¿Eliminar permanentemente {address}?"
"admin.confirm.deleteDomain","¿Eliminar {name}?"
"admin.confirm.deleteMail","¿Eliminar este correo?"
"admin.confirm.deleteSubdomain","¿Eliminar el subdominio {name}?"
"admin.detail.addressId","ID de dirección"
"admin.detail.attachmentMails","Correos con adjuntos"
"admin.detail.autoCleanup","Limpieza automática"
"admin.detail.back","Atrás"
"admin.detail.clearHistory","Limpiar historial"
"admin.detail.clearMailHistory","Limpiar historial de correo"
"admin.detail.copyAddress","Copiar dirección"
"admin.detail.created","Creado"
"admin.detail.currentStatus","Estado actual"
"admin.detail.deleteAddress","Eliminar dirección"
"admin.detail.detectedVerification","Verificación detectada"
"admin.detail.emptyMailboxSubtitle","Aún no se ha recibido correo en esta dirección."
"admin.detail.emptyMailboxTitle","Buzón vacío"
"admin.detail.generalInfo","Información general"
"admin.detail.incomingContent","Contenido entrante"
"admin.detail.incomingMails","Correo entrante"
"admin.detail.ipSession","IP / sesión"
"admin.detail.lastAccess","Último acceso"
"admin.detail.lastActivity","Última actividad"
"admin.detail.linkedDomain","Dominio vinculado"
"admin.detail.noOtpSubtitle","Aún no se ha detectado OTP en el correo de esta dirección."
"admin.detail.noOtpTitle","Sin registros OTP"
"admin.detail.notTracked","No rastreado"
"admin.detail.openAccess","Acceso abierto"
"admin.detail.otpCodes","Códigos OTP"
"admin.detail.otpCount","Cantidad de OTP"
"admin.detail.otpHistory","Historial OTP"
"admin.detail.passwordProtected","Protegido con contraseña"
"admin.detail.passwordProtection","Protección con contraseña"
"admin.detail.retention","Retención"
"admin.detail.retentionPeriod","Periodo de retención"
"admin.detail.securityActions","Seguridad y acciones"
"admin.detail.selectMailSubtitle","Haz clic en el icono de ojo de la tabla para ver los detalles."
"admin.detail.selectMailTitle","Selecciona un correo"
"admin.detail.statistics","Estadísticas"
"admin.detail.status","Estado"
"admin.detail.subtitle","Auditoría e historial de buzón"
"admin.detail.totalOtpRecords","Total de registros OTP"
"admin.detail.username","Nombre de usuario"
"admin.dns.noteA","El registro A apunta el nombre de host a la IP del servidor"
"admin.dns.noteDkim","Clave de firma DKIM"
"admin.dns.noteDmarc","Política DMARC"
"admin.dns.noteMx","El registro MX enruta el tráfico de correo a este nombre de host"
"admin.dns.noteSpf","SPF autoriza al servidor de envío"
"admin.dns.noteVerification","Verificación de propiedad del dominio"
"admin.errors.authRequired","Se requiere acceso de administrador"
"admin.errors.endpointMissing","Endpoint no encontrado"
"admin.errors.ipRequired","Introduce una IP válida"
"admin.errors.mailDetailFailed","No se pudo cargar el detalle del correo"
"admin.errors.requestFailed","Solicitud fallida"
"admin.flash.addressCleaned","Historial de dirección limpiado"
"admin.flash.addressDeleted","Dirección eliminada"
"admin.flash.allDnsCopied","Todos los valores DNS copiados"
"admin.flash.bulkDisabled","Acceso masivo desactivado"
"admin.flash.bulkEnabled","Acceso masivo activado"
"admin.flash.cleanupDone","Limpieza completada"
"admin.flash.copied","Copiado"
"admin.flash.copyFailed","Copia fallida"
"admin.flash.dnsRefreshed","Verificación DNS actualizada"
"admin.flash.domainActivated","Dominio activado"
"admin.flash.domainAdded","""{domain}"" añadido"
"admin.flash.domainAddedWildcard"," (comodín activo)"
"admin.flash.domainDeactivated","Dominio desactivado"
"admin.flash.domainDeleted","""{name}"" eliminado"
"admin.flash.domainUpdated","Dominio actualizado"
"admin.flash.exported","Exportación descargada"
"admin.flash.loginSuccess","Inicio de sesión de administrador correcto"
"admin.flash.mailDeleted","Correo eliminado"
"admin.flash.packageUpdated","Paquete actualizado"
"admin.flash.recordCopied","{title} copiado"
"admin.flash.requestApproved","Solicitud aprobada"
"admin.flash.requestRejected","Solicitud rechazada"
"admin.flash.roleUpdated","Rol actualizado"
"admin.flash.subdomainAdded","Subdominio ""{domain}"" añadido"
"admin.flash.subdomainDeleted","Subdominio ""{name}"" eliminado"
"admin.flash.userActivated","Usuario activado"
"admin.flash.userDeactivated","Usuario desactivado"
"admin.hero.eyebrow","Centro de control"
"admin.hero.subtitle","Gestión del sistema MS Temp Mail, estadísticas en vivo y flujos de operación."
"admin.hero.title","Panel de administrador"
"admin.login.defaultPassword","Predeterminado:"
"admin.login.loading","Comprobando…"
"admin.login.passwordLabel","Contraseña de administrador"
"admin.login.submit","Iniciar sesión"
"admin.login.subtitle","Continuar con credenciales de administrador"
"admin.login.title","Panel de administrador"
"admin.mix.attachment","Adjunto"
"admin.mix.normal","Normal"
"admin.stats.activeDomains","Dominios activos"
"admin.stats.allTime","Histórico"
"admin.stats.last24h","Últimas 24 horas"
"admin.stats.newMessages","Correo entrante nuevo"
"admin.stats.protectedCount","Con contraseña: {count}"
"admin.stats.totalAddresses","Total de direcciones"
"admin.stats.totalDomains","Total: {count}"
"admin.stats.totalMail","Total de correos"
"admin.system.activeDomains","Dominios activos"
"admin.system.adminSession","Sesión de administrador"
"admin.system.cleanupPolicy","Política de limpieza"
"admin.system.cleanupPolicyValue","Automático + manual"
"admin.system.protectedMailbox","Buzones protegidos"
"admin.system.smtpFlow","Flujo SMTP"
"admin.table.action","Acción"
"admin.table.date","Fecha"
"admin.table.sender","Remitente"
"admin.table.subject","Asunto"
"admin.table.tag","Etiqueta"
"admin.tabs.addresses","Direcciones"
"admin.tabs.bulk","Grupos masivos"
"admin.tabs.dashboard","Panel"
"admin.tabs.domains","Dominios"
"admin.tabs.emails","Correos"
"admin.tabs.requests","Solicitudes"
"admin.tabs.settings","Ajustes"
"admin.tabs.users","Usuarios"
"admin.ui.addr.active","Direcciones activas"
"admin.ui.addr.activeHint","Acceso o correo reciente presente"
"admin.ui.addr.all","Todas las direcciones"
"admin.ui.addr.clearFilter","Limpiar filtro"
"admin.ui.addr.colActions","Acciones"
"admin.ui.addr.colActivity","Última actividad"
"admin.ui.addr.colCreated","Creado"
"admin.ui.addr.colDomain","Dominio"
"admin.ui.addr.colEmail","Dirección de correo"
"admin.ui.addr.colMailCount","Cantidad de correos"
"admin.ui.addr.colRetention","Retención"
"admin.ui.addr.colStatus","Estado"
"admin.ui.addr.emptySubtitle","Limpia la búsqueda y los filtros e inténtalo de nuevo."
"admin.ui.addr.emptyTitle","No se encontraron direcciones"
"admin.ui.addr.expired","Caducadas"
"admin.ui.addr.expiredHint","Esperando limpieza"
"admin.ui.addr.fActive","Activo"
"admin.ui.addr.fDomain","Dominio"
"admin.ui.addr.fExpired","Caducado"
"admin.ui.addr.fIdle","Inactivo"
"admin.ui.addr.fProtected","Con contraseña"
"admin.ui.addr.fStatus","Estado"
"admin.ui.addr.next","Siguiente"
"admin.ui.addr.page","Página {page} / {total}"
"admin.ui.addr.prev","Anterior"
"admin.ui.addr.protected","Protegido con contraseña"
"admin.ui.addr.protectedHint","Seguridad extra activada"
"admin.ui.addr.searchPlaceholder","Buscar dirección de correo..."
"admin.ui.addr.showingRange","Mostrando {from}-{to} de {total} direcciones"
"admin.ui.addr.sortDomain","Dominio"
"admin.ui.addr.sortLastMail","Última actividad"
"admin.ui.addr.sortNewest","Ordenar: Más recientes"
"admin.ui.addr.sortOldest","Ordenar: Más antiguas"
"admin.ui.addr.sortUsage","Cantidad de uso"
"admin.ui.addr.total","Total de direcciones"
"admin.ui.addr.totalHint","Todos los registros de buzón"
"admin.ui.bulk.accessOff","Desactivado"
"admin.ui.bulk.accessOn","Activado"
"admin.ui.bulk.activePool","Grupos activos"
"admin.ui.bulk.activePoolHint","Grupos de prefijos vinculados a usuarios"
"admin.ui.bulk.authorizedUsers","Usuarios autorizados"
"admin.ui.bulk.authorizedUsersHint","Solo Pro y Pro+"
"admin.ui.bulk.colAccess","Acceso"
"admin.ui.bulk.colAddr","Direcciones"
"admin.ui.bulk.colLastGen","Última generación"
"admin.ui.bulk.colOwner","Propietario"
"admin.ui.bulk.colPackage","Paquete"
"admin.ui.bulk.colPool","Grupo"
"admin.ui.bulk.emptySubtitle","Los usuarios Pro/Pro+ que autorices pueden crear grupos aquí."
"admin.ui.bulk.emptyTitle","No se encontraron grupos masivos"
"admin.ui.bulk.generatedAddr","Direcciones generadas"
"admin.ui.bulk.generatedAddrHint","Incluidas en la cuota del paquete normal"
"admin.ui.bulk.pools","Grupos masivos ({count})"
"admin.ui.bulk.searchPlaceholder","Buscar usuario, prefijo o dominio"
"admin.ui.dash.activityEmptySubtitle","Las acciones nuevas aparecerán aquí."
"admin.ui.dash.activityEmptyTitle","Aún no hay actividad"
"admin.ui.dash.colAction","Acción"
"admin.ui.dash.colAddress","Direcciones"
"admin.ui.dash.colCreated","Creado"
"admin.ui.dash.colRecipient","Destinatario"
"admin.ui.dash.colStatus","Estado"
"admin.ui.dash.domainEmptySubtitle","Añade un dominio nuevo usando la acción rápida de arriba."
"admin.ui.dash.domainEmptyTitle","Aún no se han añadido dominios"
"admin.ui.dash.domainMgmt","Gestión de dominios"
"admin.ui.dash.expiredAddr","Direcciones caducadas"
"admin.ui.dash.inactiveUsers","Usuarios inactivos"
"admin.ui.dash.mailMix","Distribución de correo"
"admin.ui.dash.mailsEmptySubtitle","Los mensajes nuevos se listarán aquí cuando lleguen."
"admin.ui.dash.mailsEmptyTitle","Aún no hay correo"
"admin.ui.dash.manageRequests","Gestionar solicitudes"
"admin.ui.dash.mixEmptySubtitle","El gráfico circular se llenará a medida que llegue el correo."
"admin.ui.dash.mixEmptyTitle","Sin datos de distribución"
"admin.ui.dash.opsSummary","Resumen de operaciones"
"admin.ui.dash.pendingPro","Solicitud Pro pendiente"
"admin.ui.dash.protectedAddr","Direcciones con contraseña"
"admin.ui.dash.recentActivity","Actividad reciente"
"admin.ui.dash.recentMails","Correo reciente"
"admin.ui.dash.security","Seguridad y limpieza"
"admin.ui.dash.systemStatus","Estado del sistema"
"admin.ui.dash.tagIncoming","Entrante"
"admin.ui.dash.traffic","Tráfico de correo"
"admin.ui.dash.trafficEmptySubtitle","El tráfico aparecerá aquí a medida que llegue el correo."
"admin.ui.dash.trafficEmptyTitle","Sin datos para el gráfico"
"admin.ui.dash.viewAll","Ver todo"
"admin.ui.dash.viewAllMails","Ver todo el correo"
"admin.ui.dnsModal.aRecordCopied","Registro A copiado"
"admin.ui.dnsModal.addLabel","Añadir"
"admin.ui.dnsModal.close","Cerrar"
"admin.ui.dnsModal.colAction","Acción"
"admin.ui.dnsModal.colHost","Host"
"admin.ui.dnsModal.colType","Tipo"
"admin.ui.dnsModal.colValue","Valor"
"admin.ui.dnsModal.copy","Copiar"
"admin.ui.dnsModal.copyAll","Copiar todo"
"admin.ui.dnsModal.copyAllValues","Copiar todos los valores"
"admin.ui.dnsModal.copyDomainName","Copiar nombre de dominio"
"admin.ui.dnsModal.dnsRecords","Registros DNS"
"admin.ui.dnsModal.domainDesc","Los registros DNS necesarios para tu dominio seleccionado se muestran abajo."
"admin.ui.dnsModal.domainName","Nombre de dominio"
"admin.ui.dnsModal.domainNameCopied","Nombre de dominio copiado"
"admin.ui.dnsModal.howToBody","Ve al panel DNS de tu dominio y añade los registros de arriba por completo."
"admin.ui.dnsModal.howToTitle","¿Cómo usar?"
"admin.ui.dnsModal.mxRecordCopied","Registro MX copiado"
"admin.ui.dnsModal.propagationBody","Los cambios DNS suelen propagarse en 5-60 minutos."
"admin.ui.dnsModal.propagationTitle","Tiempo de propagación"
"admin.ui.dnsModal.recordStatus","Estado del registro"
"admin.ui.dnsModal.refreshVerify","Actualizar verificación"
"admin.ui.dnsModal.serverIp","IP del servidor"
"admin.ui.dnsModal.serverIpCopied","IP del servidor copiada"
"admin.ui.dnsModal.serverIpDesc","Todo el tráfico de correo se enrutará a través de esta dirección IP."
"admin.ui.dnsModal.subtitle","Añade los registros DNS de abajo para tu dominio."
"admin.ui.dnsModal.title","Configuración de registros DNS"
"admin.ui.dnsModal.txtRecordCopied","Registro TXT copiado"
"admin.ui.dnsModal.verifyBody","Puedes actualizar la verificación después de añadir los registros."
"admin.ui.dnsModal.verifyTitle","Verificación"
"admin.ui.dnsModal.wildcardCopied","Registros DNS de subdominio comodín copiados"
"admin.ui.dnsModal.wildcardDesc","Añade los registros DNS de abajo para el soporte de subdominios. Con estos registros, todos los subdominios como *.domain.com funcionan automáticamente."
"admin.ui.dnsModal.wildcardNote","Nota:"
"admin.ui.dnsModal.wildcardNoteBody","todos los subdominios funcionarán automáticamente. Los usuarios pueden crear una dirección de correo eligiendo cualquier subdominio."
"admin.ui.dnsModal.wildcardTitle","Registros DNS de subdominio comodín"
"admin.ui.domains.activate","Activar"
"admin.ui.domains.active","Activo"
"admin.ui.domains.activeAddr","{count} direcciones activas"
"admin.ui.domains.activeTotal","{active} activas / {total} total"
"admin.ui.domains.add","Añadir"
"admin.ui.domains.addNew","Añadir dominio"
"admin.ui.domains.addrUnit","{count} direcciones"
"admin.ui.domains.cardSubtitle","Gestiona los dominios raíz del sistema y edita los subdominios desde un único panel."
"admin.ui.domains.closeForm","Cerrar formulario"
"admin.ui.domains.collapse","Contraer"
"admin.ui.domains.copy","Copiar"
"admin.ui.domains.createdAt","Creado el"
"admin.ui.domains.deactivate","Desactivar"
"admin.ui.domains.delete","Eliminar"
"admin.ui.domains.docs","Documentación de dominios"
"admin.ui.domains.edit","Editar"
"admin.ui.domains.emptySubtitle","Empieza añadiendo un dominio nuevo."
"admin.ui.domains.emptyTitle","Sin dominios"
"admin.ui.domains.expand","Expandir"
"admin.ui.domains.inactive","Inactivo"
"admin.ui.domains.loadingSubdomains","Cargando subdominios..."
"admin.ui.domains.mxRecord","Registro MX"
"admin.ui.domains.noSubSubtitle","Usa el campo de arriba para crear el primer subdominio de este dominio raíz."
"admin.ui.domains.noSubTitle","Aún no se han añadido subdominios"
"admin.ui.domains.refresh","Actualizar"
"admin.ui.domains.save","Guardar"
"admin.ui.domains.serverIp","IP del servidor"
"admin.ui.domains.subActive","{count} activos"
"admin.ui.domains.subExample","Ejemplo: demo@{domain}"
"admin.ui.domains.subPlaceholder","Añadir nuevo subdominio (p. ej. mail, gmail, temp)"
"admin.ui.domains.subSectionHint","Puedes crear y gestionar subdominios bajo este dominio raíz."
"admin.ui.domains.subdomainCopied","Subdominio copiado"
"admin.ui.domains.subdomains","Subdominios"
"admin.ui.domains.title","Gestión de dominios"
"admin.ui.domains.totalActiveAddr","Total de direcciones activas"
"admin.ui.domains.wildcardActive","Comodín activado"
"admin.ui.domains.wildcardEnabled","Activado"
"admin.ui.domains.wildcardHint","Si se activa, se pueden crear subdominios como *.domain.com"
"admin.ui.domains.wildcardOff","Comodín desactivado"
"admin.ui.domains.wildcardRequired","Activa primero el soporte de comodín para crear subdominios."
"admin.ui.domains.wildcardSupport","Soporte de comodín"
"admin.ui.domains.wildcardTitle","Soporte de subdominio comodín"
"admin.ui.editDomain.close","Cerrar"
"admin.ui.editDomain.copy","Copiar"
"admin.ui.editDomain.domain","Dominio"
"admin.ui.editDomain.exampleBody","123.45.67.89"
"admin.ui.editDomain.exampleLabel","Ejemplo:"
"admin.ui.editDomain.noteBody","Solo se aceptan dígitos y puntos."
"admin.ui.editDomain.noteLabel","Nota:"
"admin.ui.editDomain.save","Guardar"
"admin.ui.editDomain.serverIp","IP del servidor"
"admin.ui.editDomain.subtitle","Actualiza la dirección IP. El sistema regenera los valores A, MX y TXT automáticamente."
"admin.ui.editDomain.title","Editar dominio {domain}"
"admin.ui.editDomain.titleFallback","Editar dominio"
"admin.ui.editDomain.wildcardHint","Si se activa, se pueden crear subdominios como *.domain.com"
"admin.ui.editDomain.wildcardTitle","Soporte de subdominio comodín"
"admin.ui.emails.all","Todo el correo ({count})"
"admin.ui.emails.colAction","Acción"
"admin.ui.emails.colDate","Fecha"
"admin.ui.emails.colRecipient","Destinatario"
"admin.ui.emails.colSender","Remitente"
"admin.ui.emails.colSubject","Asunto"
"admin.ui.emails.colTag","Etiqueta"
"admin.ui.emails.copyOtp","Copiar OTP"
"admin.ui.emails.detail","Detalle de correo"
"admin.ui.emails.detailEmptySubtitle","Haz clic en el icono de ojo de la lista para ver los detalles."
"admin.ui.emails.detailEmptyTitle","Selecciona un correo"
"admin.ui.emails.emptySubtitle","El correo se listará aquí cuando el sistema empiece a recibir."
"admin.ui.emails.emptyTitle","Aún no hay correo"
"admin.ui.emails.next","Siguiente"
"admin.ui.emails.page","Página {page}"
"admin.ui.emails.prev","Anterior"
"admin.ui.emails.tagAttached","Adjunto"
"admin.ui.emails.tagNormal","Normal"
"admin.ui.requests.alreadyPro","Ya es Pro"
"admin.ui.requests.approve","Aprobar"
"admin.ui.requests.approved","Aprobado"
"admin.ui.requests.emptySubtitle","Las solicitudes Pro nuevas aparecen aquí."
"admin.ui.requests.emptyTitle","No hay solicitudes pendientes"
"admin.ui.requests.noMessage","No se dejó ningún mensaje."
"admin.ui.requests.pending","Pendiente"
"admin.ui.requests.reject","Rechazar"
"admin.ui.requests.rejected","Rechazado"
"admin.ui.requests.title","Solicitudes Pro ({count})"
"admin.ui.settings.activeDomainCount","Cantidad de dominios activos"
"admin.ui.settings.adminAuth","Autenticación de administrador"
"admin.ui.settings.adminAuthValue","JWT + contraseña de respaldo"
"admin.ui.settings.cleanupPolicy","Política de limpieza"
"admin.ui.settings.cleanupPolicyValue","Manual + basada en servicio"
"admin.ui.settings.defaultRetention","Retención de datos predeterminada"
"admin.ui.settings.defaultRetentionValue","7 días / solo activación manual"
"admin.ui.settings.defaultSoundDesc","Un efecto de campana brillante y en capas."
"admin.ui.settings.defaultSoundName","Campana de cristal"
"admin.ui.settings.general","Ajustes generales"
"admin.ui.settings.logout","Cerrar sesión de administrador"
"admin.ui.settings.mailVolume","Volumen de correo"
"admin.ui.settings.notifSound","Sonido de notificación"
"admin.ui.settings.opsSummary","Resumen de operaciones"
"admin.ui.settings.pendingRequests","Solicitudes pendientes"
"admin.ui.settings.preview","Vista previa"
"admin.ui.settings.protectedMailbox","Buzones con contraseña"
"admin.ui.settings.refreshAll","Actualizar todos los datos"
"admin.ui.settings.selectedSignal","Señal seleccionada"
"admin.ui.settings.totalUsers","Total de usuarios"
"admin.ui.users.activate","Activar"
"admin.ui.users.active","Activo"
"admin.ui.users.admin","Administrador"
"admin.ui.users.adminPackage","Paquete de administrador"
"admin.ui.users.bulkClose","Desactivar masivo"
"admin.ui.users.bulkOff","Desactivado"
"admin.ui.users.bulkOn","Activado"
"admin.ui.users.bulkOpen","Activar masivo"
"admin.ui.users.colAction","Acción"
"admin.ui.users.colAddr","Direcciones"
"admin.ui.users.colBulk","Masivo"
"admin.ui.users.colLastLogin","Último inicio de sesión"
"admin.ui.users.colMail","Correo"
"admin.ui.users.colRole","Rol"
"admin.ui.users.colStatus","Estado"
"admin.ui.users.colUser","Usuario"
"admin.ui.users.deactivate","Desactivar"
