key,ru
"accountModal.favoriteAddress","Избранный адрес"
"accountModal.favoriteDomains","Избранные домены"
"accountModal.generalSubtitle","Быстро меняйте самые используемые настройки в этом окне."
"accountModal.generalTitle","Оформление и значения по умолчанию"
"accountModal.language","Язык"
"accountModal.lastActive","Последняя активность"
"accountModal.limitsTitle","Использование и тариф"
"accountModal.locked","Заблокировано"
"accountModal.loginFail","Ошибка"
"accountModal.loginHistory","История входов"
"accountModal.loginSuccess","Успех"
"accountModal.mailCount","Количество писем"
"accountModal.mailRetention","Срок хранения почты"
"accountModal.newMail","Оповещения о новой почте"
"accountModal.newMailDesc","Уведомлять меня при получении нового сообщения."
"accountModal.newPassword","Новый пароль"
"accountModal.newPasswordRepeat","Повторите новый пароль"
"accountModal.noDomains","Нет доменов."
"accountModal.noLoginHistory","История входов не найдена."
"accountModal.noSessions","Активных сессий не найдено."
"accountModal.notificationPrefs","Настройки уведомлений"
"accountModal.notificationSound","Звук уведомлений"
"accountModal.notifications","Настройки уведомлений"
"accountModal.otp","Оповещения OTP"
"accountModal.otpNotification","Оповещения OTP"
"accountModal.otpNotificationDesc","Показывать специальные оповещения для одноразовых кодов."
"accountModal.packageLimits","Лимиты показаны по пакету."
"accountModal.pendingEmail","Ожидающая эл. почта"
"accountModal.planTitle","Тариф"
"accountModal.preview","Предпросмотр"
"accountModal.profilePhoto","Загрузить фото"
"accountModal.profileSave","Сохранить профиль"
"accountModal.profileTitle","Данные аккаунта"
"accountModal.quickSave","Сохранить"
"accountModal.quickStatus","Краткий статус"
"accountModal.quotaUsed","квота адресов использована"
"accountModal.ready","Готов"
"accountModal.refresh","Обновить"
"accountModal.reset","Сбросить"
"accountModal.retention","Хранение почты"
"accountModal.retentionAndSound","Хранение и звук"
"accountModal.securityAlerts","Оповещения безопасности"
"accountModal.securityAlertsDesc","Уведомлять меня о подозрительных входах."
"accountModal.securityStatus","Статус безопасности"
"accountModal.selectOption","Выбрать"
"accountModal.sessionsCloseNote","вкладку для закрытия входов."
"accountModal.sessionsHint","Здесь можно закрыть открытые устройства."
"accountModal.sessionsTitle","Активные сессии"
"accountModal.statAddress","Адрес"
"accountModal.statFavoriteDomain","Избранный домен"
"accountModal.statMail","Почта"
"accountModal.subtitle","Центр редактирования"
"accountModal.suspicious","Подозрительно"
"accountModal.tabs.general","Общие"
"accountModal.tabs.preferences","Настройки"
"accountModal.tabs.profile","Профиль"
"accountModal.tabs.security","Безопасность"
"accountModal.tabs.sessions","Сессии"
"accountModal.tabs.usage","Использование"
"accountModal.tabsSubtitle.general","Оформление и основные настройки"
"accountModal.tabsSubtitle.preferences","Уведомления и домены"
"accountModal.tabsSubtitle.profile","Имя, эл. почта и фото"
"accountModal.tabsSubtitle.security","Пароль и защита аккаунта"
"accountModal.tabsSubtitle.sessions","Устройства и входы"
"accountModal.tabsSubtitle.usage","Тариф и информация о квоте"
"accountModal.themeDark","Тёмная"
"accountModal.themeLight","Светлая"
"accountModal.themeSystem","Системная"
"accountModal.tipBody","Можно переключать вкладки без сохранения. Профиль и безопасность работают прямо в этом окне."
"accountModal.tipTitle","Подсказка"
"accountModal.title","Настройки аккаунта"
"accountModal.updatePassword","Обновить пароль"
"accountModal.upgradeLimit","Увеличить лимит"
"accountModal.upgradeable","Можно расширить"
"accountModal.used","Использовано"
"accountModal.usedDomain","Использованные домены"
"accountModal.username","Имя пользователя"
"accountModal.usernameOnce","Можно использовать один раз"
"accountModal.usernameRight","Право на имя пользователя"
"addressBar.activeBadge","Активен"
"addressBar.activeProtected","Адрес активен и защищён паролем"
"addressBar.activeReady","Адрес активен и готов к использованию"
"addressBar.chooseDomain","Выбрать домен"
"addressBar.confirmRandomSubtitle","Будет создан новый адрес, а текущий не сохранится."
"addressBar.confirmRandomTitle","Сгенерировать случайный адрес?"
"addressBar.confirmRefreshSubtitle","Будет создан новый адрес, а текущий заменён."
"addressBar.confirmRefreshTitle","Обновить этот адрес?"
"addressBar.copied","Скопировано"
"addressBar.copy","Копировать"
"addressBar.domainsLoadError","Не удалось загрузить список доменов. Обновите страницу или попробуйте позже."
"addressBar.hoursAgo","{n}ч"
"addressBar.justNow","только что"
"addressBar.loadingAction","Подготовка..."
"addressBar.mainDomain","Основной домен"
"addressBar.minutesAgo","{n}м"
"addressBar.noDomain","Доменов пока нет"
"addressBar.noDomainsHint","Домены ещё не добавлены. Добавьте один в панели администратора."
"addressBar.noHistory","Истории адресов пока нет."
"addressBar.noPassworded","Нет адресов, защищённых паролем."
"addressBar.noSubdomains","Поддомены ещё не добавлены"
"addressBar.openAddress","Открыть адрес"
"addressBar.passwordedBadge","С паролем"
"addressBar.passwordedList","Все письма с паролем"
"addressBar.protect","Защитить"
"addressBar.random","Случайный"
"addressBar.recentHint","Ваши последние открытые адреса"
"addressBar.recentUsed","Недавние"
"addressBar.refresh","Обновить"
"addressBar.safeSubtitle","Письма принимаются анонимно и шифруются."
"addressBar.safeTitle","Готов и безопасен"
"addressBar.selected","Выбран"
"addressBar.subtitle","Ваш адрес активируется мгновенно, а сообщения попадают во входящие ниже."
"addressBar.title","Ваш временный адрес эл. почты"
"admin.actions.addDomain","Добавить домен"
"admin.actions.cleanup","Очистка"
"admin.actions.export","Экспорт"
"admin.activity.addressCreated","Адрес создан"
"admin.activity.domainActive","Домен активен"
"admin.activity.domainInactive","Домен неактивен"
"admin.activity.requestApproved","Запрос одобрен"
"admin.activity.requestPending","Запрос ожидает"
"admin.activity.requestRejected","Запрос отклонён"
"admin.common.active","Активен"
"admin.common.attachment","Вложение"
"admin.common.closed","Закрыт"
"admin.common.copy","Копировать"
"admin.common.copyOtp","Копировать OTP"
"admin.common.htmlContent","(HTML-содержимое)"
"admin.common.no","Нет"
"admin.common.noSubject","(Без темы)"
"admin.common.open","Открыть"
"admin.common.waiting","Ожидание"
"admin.common.yes","Да"
"admin.confirm.cleanupAddress","Очистить историю писем для {address}?"
"admin.confirm.cleanupAll","Очистить все просроченные данные?"
"admin.confirm.deleteAddress","Окончательно удалить {address}?"
"admin.confirm.deleteDomain","Удалить {name}?"
"admin.confirm.deleteMail","Удалить это письмо?"
"admin.confirm.deleteSubdomain","Удалить поддомен {name}?"
"admin.detail.addressId","ID адреса"
"admin.detail.attachmentMails","Письма с вложениями"
"admin.detail.autoCleanup","Автоочистка"
"admin.detail.back","Назад"
"admin.detail.clearHistory","Очистить историю"
"admin.detail.clearMailHistory","Очистить историю писем"
"admin.detail.copyAddress","Копировать адрес"
"admin.detail.created","Создан"
"admin.detail.currentStatus","Текущий статус"
"admin.detail.deleteAddress","Удалить адрес"
"admin.detail.detectedVerification","Обнаруженная верификация"
"admin.detail.emptyMailboxSubtitle","На этот адрес ещё не получено писем."
"admin.detail.emptyMailboxTitle","Почтовый ящик пуст"
"admin.detail.generalInfo","Общая информация"
"admin.detail.incomingContent","Входящее содержимое"
"admin.detail.incomingMails","Входящая почта"
"admin.detail.ipSession","IP / сессия"
"admin.detail.lastAccess","Последний доступ"
"admin.detail.lastActivity","Последняя активность"
"admin.detail.linkedDomain","Связанный домен"
"admin.detail.noOtpSubtitle","В письмах для этого адреса OTP пока не обнаружен."
"admin.detail.noOtpTitle","Нет записей OTP"
"admin.detail.notTracked","Не отслеживается"
"admin.detail.openAccess","Открытый доступ"
"admin.detail.otpCodes","Коды OTP"
"admin.detail.otpCount","Количество OTP"
"admin.detail.otpHistory","История OTP"
"admin.detail.passwordProtected","Защищено паролем"
"admin.detail.passwordProtection","Защита паролем"
"admin.detail.retention","Хранение"
"admin.detail.retentionPeriod","Срок хранения"
"admin.detail.securityActions","Безопасность и действия"
"admin.detail.selectMailSubtitle","Нажмите на значок глаза в таблице, чтобы увидеть детали."
"admin.detail.selectMailTitle","Выберите письмо"
"admin.detail.statistics","Статистика"
"admin.detail.status","Статус"
"admin.detail.subtitle","Аудит и история почтового ящика"
"admin.detail.totalOtpRecords","Всего записей OTP"
"admin.detail.username","Имя пользователя"
"admin.dns.noteA","A-запись указывает имя хоста на IP сервера"
"admin.dns.noteDkim","Ключ подписи DKIM"
"admin.dns.noteDmarc","Политика DMARC"
"admin.dns.noteMx","MX-запись направляет почтовый трафик на этот хост"
"admin.dns.noteSpf","SPF авторизует отправляющий сервер"
"admin.dns.noteVerification","Проверка владения доменом"
"admin.errors.authRequired","Требуется доступ администратора"
"admin.errors.endpointMissing","Эндпоинт не найден"
"admin.errors.ipRequired","Введите корректный IP"
"admin.errors.mailDetailFailed","Не удалось загрузить детали письма"
"admin.errors.requestFailed","Запрос не удался"
"admin.flash.addressCleaned","История адреса очищена"
"admin.flash.addressDeleted","Адрес удалён"
"admin.flash.allDnsCopied","Все DNS-значения скопированы"
"admin.flash.bulkDisabled","Массовый доступ отключён"
"admin.flash.bulkEnabled","Массовый доступ включён"
"admin.flash.cleanupDone","Очистка завершена"
"admin.flash.copied","Скопировано"
"admin.flash.copyFailed","Не удалось скопировать"
"admin.flash.dnsRefreshed","Проверка DNS обновлена"
"admin.flash.domainActivated","Домен активирован"
"admin.flash.domainAdded","«{domain}» добавлен"
"admin.flash.domainAddedWildcard"," (wildcard активен)"
"admin.flash.domainDeactivated","Домен деактивирован"
"admin.flash.domainDeleted","«{name}» удалён"
"admin.flash.domainUpdated","Домен обновлён"
"admin.flash.exported","Экспорт скачан"
"admin.flash.loginSuccess","Вход администратора выполнен"
"admin.flash.mailDeleted","Письмо удалено"
"admin.flash.packageUpdated","Пакет обновлён"
"admin.flash.recordCopied","{title} скопирован"
"admin.flash.requestApproved","Запрос одобрен"
"admin.flash.requestRejected","Запрос отклонён"
"admin.flash.roleUpdated","Роль обновлена"
"admin.flash.subdomainAdded","Поддомен «{domain}» добавлен"
"admin.flash.subdomainDeleted","Поддомен «{name}» удалён"
"admin.flash.userActivated","Пользователь активирован"
"admin.flash.userDeactivated","Пользователь деактивирован"
"admin.hero.eyebrow","Центр управления"
"admin.hero.subtitle","Управление системой MS Temp Mail, живая статистика и операционные потоки."
"admin.hero.title","Панель администратора"
"admin.login.defaultPassword","По умолчанию:"
"admin.login.loading","Проверка…"
"admin.login.passwordLabel","Пароль администратора"
"admin.login.submit","Войти"
"admin.login.subtitle","Продолжить с учётными данными администратора"
"admin.login.title","Панель администратора"
"admin.mix.attachment","Вложение"
"admin.mix.normal","Обычный"
"admin.stats.activeDomains","Активные домены"
"admin.stats.allTime","За всё время"
"admin.stats.last24h","Последние 24 часа"
"admin.stats.newMessages","Новая входящая почта"
"admin.stats.protectedCount","С паролем: {count}"
"admin.stats.totalAddresses","Всего адресов"
"admin.stats.totalDomains","Всего: {count}"
"admin.stats.totalMail","Всего писем"
"admin.system.activeDomains","Активные домены"
"admin.system.adminSession","Сессия администратора"
"admin.system.cleanupPolicy","Политика очистки"
"admin.system.cleanupPolicyValue","Автоматически + вручную"
"admin.system.protectedMailbox","Защищённые ящики"
"admin.system.smtpFlow","Поток SMTP"
"admin.table.action","Действие"
"admin.table.date","Дата"
"admin.table.sender","Отправитель"
"admin.table.subject","Тема"
"admin.table.tag","Тег"
"admin.tabs.addresses","Адреса"
"admin.tabs.bulk","Массовые пулы"
"admin.tabs.dashboard","Панель"
"admin.tabs.domains","Домены"
"admin.tabs.emails","Письма"
"admin.tabs.requests","Запросы"
"admin.tabs.settings","Настройки"
"admin.tabs.users","Пользователи"
"admin.ui.addr.active","Активные адреса"
"admin.ui.addr.activeHint","Недавний доступ или наличие почты"
"admin.ui.addr.all","Все адреса"
"admin.ui.addr.clearFilter","Очистить фильтр"
"admin.ui.addr.colActions","Действия"
"admin.ui.addr.colActivity","Последняя активность"
"admin.ui.addr.colCreated","Создан"
"admin.ui.addr.colDomain","Домен"
"admin.ui.addr.colEmail","Адрес эл. почты"
"admin.ui.addr.colMailCount","Количество писем"
"admin.ui.addr.colRetention","Хранение"
"admin.ui.addr.colStatus","Статус"
"admin.ui.addr.emptySubtitle","Очистите поиск и фильтры и попробуйте снова."
"admin.ui.addr.emptyTitle","Адреса не найдены"
"admin.ui.addr.expired","Просрочен"
"admin.ui.addr.expiredHint","Ожидает очистки"
"admin.ui.addr.fActive","Активен"
"admin.ui.addr.fDomain","Домен"
"admin.ui.addr.fExpired","Просрочен"
"admin.ui.addr.fIdle","Простаивает"
"admin.ui.addr.fProtected","С паролем"
"admin.ui.addr.fStatus","Статус"
"admin.ui.addr.next","Далее"
"admin.ui.addr.page","Страница {page} / {total}"
"admin.ui.addr.prev","Предыдущая"
"admin.ui.addr.protected","Защищено паролем"
"admin.ui.addr.protectedHint","Дополнительная безопасность на"
"admin.ui.addr.searchPlaceholder","Поиск адреса эл. почты..."
"admin.ui.addr.showingRange","Показано {from}-{to} из {total} адресов"
"admin.ui.addr.sortDomain","Домен"
"admin.ui.addr.sortLastMail","Последняя активность"
"admin.ui.addr.sortNewest","Сортировка: новейшие"
"admin.ui.addr.sortOldest","Сортировка: старейшие"
"admin.ui.addr.sortUsage","Количество использований"
"admin.ui.addr.total","Всего адресов"
"admin.ui.addr.totalHint","Все записи почтовых ящиков"
"admin.ui.bulk.accessOff","Выкл"
"admin.ui.bulk.accessOn","Вкл"
"admin.ui.bulk.activePool","Активные пулы"
"admin.ui.bulk.activePoolHint","Пулы префиксов, привязанные к пользователям"
"admin.ui.bulk.authorizedUsers","Авторизованные пользователи"
"admin.ui.bulk.authorizedUsersHint","Только Pro и Pro+"
"admin.ui.bulk.colAccess","Доступ"
"admin.ui.bulk.colAddr","Адреса"
"admin.ui.bulk.colLastGen","Последняя генерация"
"admin.ui.bulk.colOwner","Владелец"
"admin.ui.bulk.colPackage","Пакет"
"admin.ui.bulk.colPool","Пул"
"admin.ui.bulk.emptySubtitle","Авторизованные пользователи Pro/Pro+ могут создавать пулы здесь."
"admin.ui.bulk.emptyTitle","Массовые пулы не найдены"
"admin.ui.bulk.generatedAddr","Сгенерированные адреса"
"admin.ui.bulk.generatedAddrHint","Включены в обычную квоту пакета"
"admin.ui.bulk.pools","Массовые пулы ({count})"
"admin.ui.bulk.searchPlaceholder","Поиск пользователя, префикса или домена"
"admin.ui.dash.activityEmptySubtitle","Новые действия появятся здесь."
"admin.ui.dash.activityEmptyTitle","Активности пока нет"
"admin.ui.dash.colAction","Действие"
"admin.ui.dash.colAddress","Адреса"
"admin.ui.dash.colCreated","Создан"
"admin.ui.dash.colRecipient","Получатель"
"admin.ui.dash.colStatus","Статус"
"admin.ui.dash.domainEmptySubtitle","Добавьте новый домен с помощью быстрого действия выше."
"admin.ui.dash.domainEmptyTitle","Домены ещё не добавлены"
"admin.ui.dash.domainMgmt","Управление доменами"
"admin.ui.dash.expiredAddr","Просроченные адреса"
"admin.ui.dash.inactiveUsers","Неактивные пользователи"
"admin.ui.dash.mailMix","Распределение почты"
"admin.ui.dash.mailsEmptySubtitle","Новые сообщения будут перечислены здесь по прибытии."
"admin.ui.dash.mailsEmptyTitle","Писем пока нет"
"admin.ui.dash.manageRequests","Управление запросами"
"admin.ui.dash.mixEmptySubtitle","Круговая диаграмма заполнится по мере поступления почты."
"admin.ui.dash.mixEmptyTitle","Нет данных для распределения"
"admin.ui.dash.opsSummary","Сводка операций"
"admin.ui.dash.pendingPro","Ожидающий запрос Pro"
"admin.ui.dash.protectedAddr","Адреса с паролем"
"admin.ui.dash.recentActivity","Недавняя активность"
"admin.ui.dash.recentMails","Недавняя почта"
"admin.ui.dash.security","Безопасность и очистка"
"admin.ui.dash.systemStatus","Статус системы"
"admin.ui.dash.tagIncoming","Входящие"
"admin.ui.dash.traffic","Почтовый трафик"
"admin.ui.dash.trafficEmptySubtitle","Трафик появится здесь по мере поступления почты."
"admin.ui.dash.trafficEmptyTitle","Нет данных для графика"
"admin.ui.dash.viewAll","Показать все"
"admin.ui.dash.viewAllMails","Показать всю почту"
"admin.ui.dnsModal.aRecordCopied","A-запись скопирована"
"admin.ui.dnsModal.addLabel","Добавить"
"admin.ui.dnsModal.close","Закрыть"
"admin.ui.dnsModal.colAction","Действие"
"admin.ui.dnsModal.colHost","Хост"
"admin.ui.dnsModal.colType","Тип"
"admin.ui.dnsModal.colValue","Значение"
"admin.ui.dnsModal.copy","Копировать"
"admin.ui.dnsModal.copyAll","Копировать все"
"admin.ui.dnsModal.copyAllValues","Копировать все значения"
"admin.ui.dnsModal.copyDomainName","Копировать имя домена"
"admin.ui.dnsModal.dnsRecords","DNS-записи"
"admin.ui.dnsModal.domainDesc","DNS-записи, необходимые для выбранного домена, показаны ниже."
"admin.ui.dnsModal.domainName","Имя домена"
"admin.ui.dnsModal.domainNameCopied","Имя домена скопировано"
"admin.ui.dnsModal.howToBody","Перейдите в DNS-панель вашего домена и полностью добавьте указанные выше записи."
"admin.ui.dnsModal.howToTitle","Как использовать?"
"admin.ui.dnsModal.mxRecordCopied","MX-запись скопирована"
"admin.ui.dnsModal.propagationBody","DNS-изменения обычно распространяются в течение 5-60 минут."
"admin.ui.dnsModal.propagationTitle","Время распространения"
"admin.ui.dnsModal.recordStatus","Статус записи"
"admin.ui.dnsModal.refreshVerify","Обновить проверку"
"admin.ui.dnsModal.serverIp","IP сервера"
"admin.ui.dnsModal.serverIpCopied","IP сервера скопирован"
"admin.ui.dnsModal.serverIpDesc","Весь почтовый трафик будет маршрутизироваться через этот IP-адрес."
"admin.ui.dnsModal.subtitle","Добавьте указанные ниже DNS-записи для вашего домена."
"admin.ui.dnsModal.title","Настройка DNS-записей"
"admin.ui.dnsModal.txtRecordCopied","TXT-запись скопирована"
"admin.ui.dnsModal.verifyBody","Вы можете обновить проверку после добавления записей."
"admin.ui.dnsModal.verifyTitle","Проверка"
"admin.ui.dnsModal.wildcardCopied","DNS-записи wildcard-поддомена скопированы"
"admin.ui.dnsModal.wildcardDesc","Добавьте указанные ниже DNS-записи для поддержки поддоменов. С этими записями все поддомены вроде *.domain.com работают автоматически."
"admin.ui.dnsModal.wildcardNote","Примечание:"
"admin.ui.dnsModal.wildcardNoteBody","все поддомены будут работать автоматически. Пользователи могут создавать почтовые адреса, выбирая любой поддомен."
"admin.ui.dnsModal.wildcardTitle","DNS-записи wildcard-поддомена"
"admin.ui.domains.activate","Активировать"
"admin.ui.domains.active","Активен"
"admin.ui.domains.activeAddr","{count} активных адресов"
"admin.ui.domains.activeTotal","{active} активных / {total} всего"
"admin.ui.domains.add","Добавить"
"admin.ui.domains.addNew","Добавить домен"
"admin.ui.domains.addrUnit","{count} адресов"
"admin.ui.domains.cardSubtitle","Управляйте корневыми доменами в системе и редактируйте поддомены из единой панели."
"admin.ui.domains.closeForm","Закрыть форму"
"admin.ui.domains.collapse","Свернуть"
"admin.ui.domains.copy","Копировать"
"admin.ui.domains.createdAt","Дата создания"
"admin.ui.domains.deactivate","Деактивировать"
"admin.ui.domains.delete","Удалить"
"admin.ui.domains.docs","Документация домена"
"admin.ui.domains.edit","Редактировать"
"admin.ui.domains.emptySubtitle","Начните с добавления нового домена."
"admin.ui.domains.emptyTitle","Доменов нет"
"admin.ui.domains.expand","Развернуть"
"admin.ui.domains.inactive","Неактивен"
"admin.ui.domains.loadingSubdomains","Загрузка поддоменов..."
"admin.ui.domains.mxRecord","MX-запись"
"admin.ui.domains.noSubSubtitle","Используйте поле выше, чтобы создать первый поддомен для этого корневого домена."
"admin.ui.domains.noSubTitle","Поддомены ещё не добавлены"
"admin.ui.domains.refresh","Обновить"
"admin.ui.domains.save","Сохранить"
"admin.ui.domains.serverIp","IP сервера"
"admin.ui.domains.subActive","{count} активных"
"admin.ui.domains.subExample","Пример: demo@{domain}"
"admin.ui.domains.subPlaceholder","Добавить новый поддомен (напр. mail, gmail, temp)"
"admin.ui.domains.subSectionHint","Вы можете создавать и управлять поддоменами под этим корневым доменом."
"admin.ui.domains.subdomainCopied","Поддомен скопирован"
"admin.ui.domains.subdomains","Поддомены"
"admin.ui.domains.title","Управление доменами"
"admin.ui.domains.totalActiveAddr","Всего активных адресов"
"admin.ui.domains.wildcardActive","Wildcard вкл"
"admin.ui.domains.wildcardEnabled","Включено"
"admin.ui.domains.wildcardHint","Если включено, можно создавать поддомены вроде *.domain.com"
"admin.ui.domains.wildcardOff","Wildcard выкл"
"admin.ui.domains.wildcardRequired","Сначала включите поддержку wildcard для создания поддоменов."
"admin.ui.domains.wildcardSupport","Поддержка wildcard"
"admin.ui.domains.wildcardTitle","Поддержка wildcard-поддоменов"
"admin.ui.editDomain.close","Закрыть"
"admin.ui.editDomain.copy","Копировать"
"admin.ui.editDomain.domain","Домен"
"admin.ui.editDomain.exampleBody","123.45.67.89"
"admin.ui.editDomain.exampleLabel","Пример:"
"admin.ui.editDomain.noteBody","Принимаются только цифры и точки."
"admin.ui.editDomain.noteLabel","Примечание:"
"admin.ui.editDomain.save","Сохранить"
"admin.ui.editDomain.serverIp","IP сервера"
"admin.ui.editDomain.subtitle","Обновите IP-адрес. Система автоматически регенерирует значения A, MX и TXT."
"admin.ui.editDomain.title","Редактировать домен {domain}"
"admin.ui.editDomain.titleFallback","Редактировать домен"
"admin.ui.editDomain.wildcardHint","Если включено, можно создавать поддомены вроде *.domain.com"
"admin.ui.editDomain.wildcardTitle","Поддержка wildcard-поддоменов"
"admin.ui.emails.all","Все письма ({count})"
"admin.ui.emails.colAction","Действие"
"admin.ui.emails.colDate","Дата"
"admin.ui.emails.colRecipient","Получатель"
"admin.ui.emails.colSender","Отправитель"
"admin.ui.emails.colSubject","Тема"
"admin.ui.emails.colTag","Тег"
"admin.ui.emails.copyOtp","Копировать OTP"
"admin.ui.emails.detail","Детали письма"
"admin.ui.emails.detailEmptySubtitle","Нажмите на значок глаза в списке, чтобы посмотреть детали."
"admin.ui.emails.detailEmptyTitle","Выберите письмо"
"admin.ui.emails.emptySubtitle","Письма будут перечислены здесь, как только система начнёт их принимать."
"admin.ui.emails.emptyTitle","Писем пока нет"
"admin.ui.emails.next","Далее"
"admin.ui.emails.page","Страница {page}"
"admin.ui.emails.prev","Предыдущая"
"admin.ui.emails.tagAttached","Вложение"
"admin.ui.emails.tagNormal","Обычный"
"admin.ui.requests.alreadyPro","Уже Pro"
"admin.ui.requests.approve","Одобрить"
"admin.ui.requests.approved","Одобрено"
"admin.ui.requests.emptySubtitle","Новые запросы Pro появляются здесь."
"admin.ui.requests.emptyTitle","Нет ожидающих запросов"
"admin.ui.requests.noMessage","Сообщения нет."
"admin.ui.requests.pending","Ожидает"
"admin.ui.requests.reject","Отклонить"
"admin.ui.requests.rejected","Отклонено"
"admin.ui.requests.title","Запросы Pro ({count})"
"admin.ui.settings.activeDomainCount","Количество активных доменов"
"admin.ui.settings.adminAuth","Аутентификация администратора"
"admin.ui.settings.adminAuthValue","JWT + резервный пароль"
"admin.ui.settings.cleanupPolicy","Политика очистки"
"admin.ui.settings.cleanupPolicyValue","Вручную + на основе службы"
"admin.ui.settings.defaultRetention","Хранение данных по умолчанию"
"admin.ui.settings.defaultRetentionValue","7 дней / только ручной запуск"
"admin.ui.settings.defaultSoundDesc","Многослойный яркий звуковой эффект."
"admin.ui.settings.defaultSoundName","Glass Chime"
"admin.ui.settings.general","Общие настройки"
"admin.ui.settings.logout","Завершить сессию администратора"
"admin.ui.settings.mailVolume","Объём почты"
"admin.ui.settings.notifSound","Звук уведомлений"
"admin.ui.settings.opsSummary","Сводка операций"
"admin.ui.settings.pendingRequests","Ожидающие запросы"
"admin.ui.settings.preview","Предпросмотр"
"admin.ui.settings.protectedMailbox","Ящики с паролем"
"admin.ui.settings.refreshAll","Обновить все данные"
"admin.ui.settings.selectedSignal","Выбранный сигнал"
"admin.ui.settings.totalUsers","Всего пользователей"
"admin.ui.users.activate","Активировать"
"admin.ui.users.active","Активен"
"admin.ui.users.admin","Администратор"
"admin.ui.users.adminPackage","Пакет администратора"
"admin.ui.users.bulkClose","Отключить массовый режим"
"admin.ui.users.bulkOff","Выкл"
"admin.ui.users.bulkOn","Вкл"
"admin.ui.users.bulkOpen","Включить массовый режим"
"admin.ui.users.colAction","Действие"
"admin.ui.users.colAddr","Адреса"
"admin.ui.users.colBulk","Массовый"
"admin.ui.users.colLastLogin","Последний вход"
"admin.ui.users.colMail","Почта"
"admin.ui.users.colRole","Роль"
"admin.ui.users.colStatus","Статус"
"admin.ui.users.colUser","Пользователь"
"admin.ui.users.deactivate","Деактивировать"
"admin.ui.users.emptySubtitle","Зарегистрированные пользователи перечислены здесь."
"admin.ui.users.emptyTitle","Пользователи не найдены"
"admin.ui.users.free","Free"
"admin.ui.users.inactive","Неактивен"
"admin.ui.users.pools","{count} пулов"
"admin.ui.users.pro","Pro"
"admin.ui.users.proPlus","Pro+"
"admin.ui.users.title","Пользователи ({count})"
"adminBulk.activate","Активировать"
"adminBulk.activePools","Активные пулы"
"adminBulk.addressCount","Количество"
"adminBulk.adminGeneration","Генерация администратором"
"adminBulk.allStatuses","Все статусы"
"adminBulk.archive","Архив"
"adminBulk.eyebrow","УПРАВЛЕНИЕ МАССОВЫМИ ОПЕРАЦИЯМИ АДМИНА"
"adminBulk.generateFailed","Генерация не удалась"
"adminBulk.generateSuccess","{count} адресов сгенерировано"
