key,de
"accountModal.pendingEmail","Ausstehende E-Mail"
"accountModal.planTitle","Tarif"
"accountModal.preview","Vorschau"
"accountModal.profilePhoto","Foto hochladen"
"accountModal.profileSave","Profil speichern"
"accountModal.profileTitle","Kontodetails"
"accountModal.quickSave","Speichern"
"accountModal.quickStatus","Kurzer Status"
"accountModal.quotaUsed","Adresskontingent genutzt"
"accountModal.ready","Bereit"
"accountModal.refresh","Aktualisieren"
"accountModal.reset","Zurücksetzen"
"accountModal.retention","E-Mail-Aufbewahrung"
"accountModal.retentionAndSound","Aufbewahrung und Ton"
"accountModal.securityAlerts","Sicherheitswarnungen"
"accountModal.securityAlertsDesc","Mich über verdächtige Anmeldungen benachrichtigen."
"accountModal.securityStatus","Sicherheitsstatus"
"accountModal.selectOption","Auswählen"
"accountModal.sessionsCloseNote","Tab zum Schließen von Anmeldungen."
"accountModal.sessionsHint","Sie können hier offene Geräte schließen."
"accountModal.sessionsTitle","Aktive Sitzungen"
"accountModal.statAddress","Adresse"
"accountModal.statFavoriteDomain","Favoriten-Domain"
"accountModal.statMail","E-Mail"
"accountModal.subtitle","Bearbeitungszentrale"
"accountModal.suspicious","Verdächtig"
"accountModal.tabs.general","Allgemein"
"accountModal.tabs.preferences","Einstellungen"
"accountModal.tabs.profile","Profil"
"accountModal.tabs.security","Sicherheit"
"accountModal.tabs.sessions","Sitzungen"
"accountModal.tabs.usage","Nutzung"
"accountModal.tabsSubtitle.general","Darstellung und Grundeinstellungen"
"accountModal.tabsSubtitle.preferences","Benachrichtigungen und Domains"
"accountModal.tabsSubtitle.profile","Name, E-Mail und Foto"
"accountModal.tabsSubtitle.security","Passwort und Kontoschutz"
"accountModal.tabsSubtitle.sessions","Geräte und Anmeldungen"
"accountModal.tabsSubtitle.usage","Tarif und Kontingent-Info"
"accountModal.themeDark","Dunkel"
"accountModal.themeLight","Hell"
"accountModal.themeSystem","System"
"accountModal.tipBody","Sie können Tabs ohne Speichern wechseln. Profil und Sicherheit funktionieren direkt in diesem Fenster."
"accountModal.tipTitle","Tipp"
"accountModal.title","Kontoeinstellungen"
"accountModal.updatePassword","Passwort aktualisieren"
"accountModal.upgradeLimit","Limit erhöhen"
"accountModal.upgradeable","Erweiterbar"
"accountModal.used","Verwendet"
"accountModal.usedDomain","Verwendete Domains"
"accountModal.username","Benutzername"
"accountModal.usernameOnce","Einmal verwendbar"
"accountModal.usernameRight","Benutzername recht"
"addressBar.activeBadge","Aktiv"
"addressBar.activeProtected","Adresse ist aktiv und passwortgeschützt"
"addressBar.activeReady","Adresse ist aktiv und einsatzbereit"
"addressBar.chooseDomain","Domain wählen"
"addressBar.confirmRandomSubtitle","Eine neue Adresse wird erstellt und die aktuelle wird nicht gespeichert."
"addressBar.confirmRandomTitle","Zufällige Adresse generieren?"
"addressBar.confirmRefreshSubtitle","Eine neue Adresse wird erstellt und Ihre aktuelle Adresse wird ersetzt."
"addressBar.confirmRefreshTitle","Diese Adresse aktualisieren?"
"addressBar.copied","Kopiert"
"addressBar.copy","Kopieren"
"addressBar.domainsLoadError","Domänenliste konnte nicht geladen werden. Aktualisieren Sie die Seite oder versuchen Sie es später erneut."
"addressBar.hoursAgo","{n} Std."
"addressBar.justNow","gerade eben"
"addressBar.loadingAction","Vorbereitung..."
"addressBar.mainDomain","Hauptdomain"
"addressBar.minutesAgo","{n} Min."
"addressBar.noDomain","Noch keine Domains"
"addressBar.noDomainsHint","Es wurden noch keine Domains hinzugefügt. Fügen Sie eine im Admin-Panel hinzu."
"addressBar.noHistory","Noch kein Adressverlauf."
"addressBar.noPassworded","Keine passwortgeschützten Adressen."
"addressBar.noSubdomains","Noch keine Subdomains hinzugefügt"
"addressBar.openAddress","Adresse öffnen"
"addressBar.passwordedBadge","Passwortgeschützt"
"addressBar.passwordedList","Alle passwortgeschützten E-Mails"
"addressBar.protect","Schützen"
"addressBar.random","Zufällig"
"addressBar.recentHint","Ihre zuletzt geöffneten Adressen"
"addressBar.recentUsed","Zuletzt"
"addressBar.refresh","Aktualisieren"
"addressBar.safeSubtitle","E-Mails werden anonym und verschlüsselt empfangen."
"addressBar.safeTitle","Bereit und sicher"
"addressBar.selected","Ausgewählt"
"addressBar.subtitle","Ihre Adresse wird sofort aktiv und Nachrichten treffen im Posteingang unten ein."
"addressBar.title","Ihre temporäre E-Mail-Adresse"
"admin.actions.addDomain","Domain hinzufügen"
"admin.actions.cleanup","Bereinigung"
"admin.actions.export","Exportieren"
"admin.activity.addressCreated","Adresse erstellt"
"admin.activity.domainActive","Domain aktiv"
"admin.activity.domainInactive","Domain inaktiv"
"admin.activity.requestApproved","Anfrage genehmigt"
"admin.activity.requestPending","Anfrage ausstehend"
"admin.activity.requestRejected","Anfrage abgelehnt"
"admin.common.active","Aktiv"
"admin.common.attachment","Anhang"
"admin.common.closed","Geschlossen"
"admin.common.copy","Kopieren"
"admin.common.copyOtp","OTP kopieren"
"admin.common.htmlContent","(HTML-Inhalt)"
"admin.common.no","Nein"
"admin.common.noSubject","(Kein Betreff)"
"admin.common.open","Öffnen"
"admin.common.waiting","Wartend"
"admin.common.yes","Ja"
"admin.confirm.cleanupAddress","E-Mail-Verlauf für {address} löschen?"
"admin.confirm.cleanupAll","Alle abgelaufenen Daten bereinigen?"
"admin.confirm.deleteAddress","{address} endgültig löschen?"
"admin.confirm.deleteDomain","{name} löschen?"
"admin.confirm.deleteMail","Diese E-Mail löschen?"
"admin.confirm.deleteSubdomain","Subdomain {name} löschen?"
"admin.detail.addressId","Adress-ID"
"admin.detail.attachmentMails","E-Mails mit Anhängen"
"admin.detail.autoCleanup","Automatische Bereinigung"
"admin.detail.back","Zurück"
"admin.detail.clearHistory","Verlauf löschen"
"admin.detail.clearMailHistory","E-Mail-Verlauf löschen"
"admin.detail.copyAddress","Adresse kopieren"
"admin.detail.created","Erstellt"
"admin.detail.currentStatus","Aktueller Status"
"admin.detail.deleteAddress","Adresse löschen"
"admin.detail.detectedVerification","Verifizierung erkannt"
"admin.detail.emptyMailboxSubtitle","Noch keine E-Mail an dieser Adresse empfangen."
"admin.detail.emptyMailboxTitle","Postfach leer"
"admin.detail.generalInfo","Allgemeine Infos"
"admin.detail.incomingContent","Eingehender Inhalt"
"admin.detail.incomingMails","Eingehende E-Mails"
"admin.detail.ipSession","IP / Sitzung"
"admin.detail.lastAccess","Letzter Zugriff"
"admin.detail.lastActivity","Letzte Aktivität"
"admin.detail.linkedDomain","Verknüpfte Domain"
"admin.detail.noOtpSubtitle","Noch kein OTP in E-Mails für diese Adresse erkannt."
"admin.detail.noOtpTitle","Keine OTP-Einträge"
"admin.detail.notTracked","Nicht verfolgt"
"admin.detail.openAccess","Offener Zugriff"
"admin.detail.otpCodes","OTP-Codes"
"admin.detail.otpCount","OTP-Anzahl"
"admin.detail.otpHistory","OTP-Verlauf"
"admin.detail.passwordProtected","Passwortgeschützt"
"admin.detail.passwordProtection","Passwortschutz"
"admin.detail.retention","Aufbewahrung"
"admin.detail.retentionPeriod","Aufbewahrungszeitraum"
"admin.detail.securityActions","Sicherheit & Aktionen"
"admin.detail.selectMailSubtitle","Klicken Sie auf das Augensymbol in der Tabelle, um Details zu sehen."
"admin.detail.selectMailTitle","E-Mail auswählen"
"admin.detail.statistics","Statistiken"
"admin.detail.status","Status"
"admin.detail.subtitle","Postfach-Audit und Verlauf"
"admin.detail.totalOtpRecords","OTP-Einträge gesamt"
"admin.detail.username","Benutzername"
"admin.dns.noteA","A-Eintrag verweist den Hostnamen auf die Server-IP"
"admin.dns.noteDkim","DKIM-Signierschlüssel"
"admin.dns.noteDmarc","DMARC-Richtlinie"
"admin.dns.noteMx","MX-Eintrag leitet E-Mail-Verkehr zu diesem Hostnamen"
"admin.dns.noteSpf","SPF autorisiert den sendenden Server"
"admin.dns.noteVerification","Verifizierung der Domaininhaberschaft"
"admin.errors.authRequired","Administrator-Zugriff erforderlich"
"admin.errors.endpointMissing","Endpunkt nicht gefunden"
"admin.errors.ipRequired","Gültige IP eingeben"
"admin.errors.mailDetailFailed","E-Mail-Detail konnte nicht geladen werden"
"admin.errors.requestFailed","Anfrage fehlgeschlagen"
"admin.flash.addressCleaned","Adressverlauf gelöscht"
"admin.flash.addressDeleted","Adresse gelöscht"
"admin.flash.allDnsCopied","Alle DNS-Werte kopiert"
"admin.flash.bulkDisabled","Massenzugriff deaktiviert"
"admin.flash.bulkEnabled","Massenzugriff aktiviert"
"admin.flash.cleanupDone","Bereinigung abgeschlossen"
"admin.flash.copied","Kopiert"
"admin.flash.copyFailed","Kopieren fehlgeschlagen"
"admin.flash.dnsRefreshed","DNS-Verifizierung aktualisiert"
"admin.flash.domainActivated","Domain aktiviert"
"admin.flash.domainAdded","""{domain}"" hinzugefügt"
"admin.flash.domainAddedWildcard"," (Wildcard aktiv)"
"admin.flash.domainDeactivated","Domain deaktiviert"
"admin.flash.domainDeleted","""{name}"" gelöscht"
"admin.flash.domainUpdated","Domain aktualisiert"
"admin.flash.exported","Export heruntergeladen"
"admin.flash.loginSuccess","Admin-Anmeldung erfolgreich"
"admin.flash.mailDeleted","E-Mail gelöscht"
"admin.flash.packageUpdated","Paket aktualisiert"
"admin.flash.recordCopied","{title} kopiert"
"admin.flash.requestApproved","Anfrage genehmigt"
"admin.flash.requestRejected","Anfrage abgelehnt"
"admin.flash.roleUpdated","Rolle aktualisiert"
"admin.flash.subdomainAdded","""{domain}"" Subdomain hinzugefügt"
"admin.flash.subdomainDeleted","""{name}"" Subdomain gelöscht"
"admin.flash.userActivated","Benutzer aktiviert"
"admin.flash.userDeactivated","Benutzer deaktiviert"
"admin.hero.eyebrow","Kontrollzentrum"
"admin.hero.subtitle","MS Temp Mail Systemverwaltung, Live-Statistiken und Abläufe."
"admin.hero.title","Admin-Panel"
"admin.login.defaultPassword","Standard:"
"admin.login.loading","Prüfung…"
"admin.login.passwordLabel","Administrator-Passwort"
"admin.login.submit","Anmelden"
"admin.login.subtitle","Mit Administrator-Zugangsdaten fortfahren"
"admin.login.title","Admin-Panel"
"admin.mix.attachment","Anhang"
"admin.mix.normal","Normal"
"admin.stats.activeDomains","Aktive Domains"
"admin.stats.allTime","Gesamtzeit"
"admin.stats.last24h","Letzte 24 Stunden"
"admin.stats.newMessages","Neue eingehende E-Mails"
"admin.stats.protectedCount","Passwortgeschützt: {count}"
"admin.stats.totalAddresses","Adressen gesamt"
"admin.stats.totalDomains","Gesamt: {count}"
"admin.stats.totalMail","E-Mails gesamt"
"admin.system.activeDomains","Aktive Domains"
"admin.system.adminSession","Admin-Sitzung"
"admin.system.cleanupPolicy","Bereinigungsrichtlinie"
"admin.system.cleanupPolicyValue","Automatisch + manuell"
"admin.system.protectedMailbox","Geschützte Postfächer"
"admin.system.smtpFlow","SMTP-Ablauf"
"admin.table.action","Aktion"
"admin.table.date","Datum"
"admin.table.sender","Absender"
"admin.table.subject","Betreff"
"admin.table.tag","Tag"
"admin.tabs.addresses","Adressen"
"admin.tabs.bulk","Massen-Pools"
"admin.tabs.dashboard","Dashboard"
"admin.tabs.domains","Domains"
"admin.tabs.emails","E-Mails"
"admin.tabs.requests","Anfragen"
"admin.tabs.settings","Einstellungen"
"admin.tabs.users","Benutzer"
"admin.ui.addr.active","Aktive Adressen"
"admin.ui.addr.activeHint","Letzter Zugriff oder E-Mail vorhanden"
"admin.ui.addr.all","Alle Adressen"
"admin.ui.addr.clearFilter","Filter löschen"
"admin.ui.addr.colActions","Aktionen"
"admin.ui.addr.colActivity","Letzte Aktivität"
"admin.ui.addr.colCreated","Erstellt"
"admin.ui.addr.colDomain","Domain"
"admin.ui.addr.colEmail","E-Mail-Adresse"
"admin.ui.addr.colMailCount","E-Mail-Anzahl"
"admin.ui.addr.colRetention","Aufbewahrung"
"admin.ui.addr.colStatus","Status"
"admin.ui.addr.emptySubtitle","Suche und Filter löschen und erneut versuchen."
"admin.ui.addr.emptyTitle","Keine Adressen gefunden"
"admin.ui.addr.expired","Abgelaufen"
"admin.ui.addr.expiredHint","Wartet auf Bereinigung"
"admin.ui.addr.fActive","Aktiv"
"admin.ui.addr.fDomain","Domain"
"admin.ui.addr.fExpired","Abgelaufen"
"admin.ui.addr.fIdle","Inaktiv"
"admin.ui.addr.fProtected","Passwortgeschützt"
"admin.ui.addr.fStatus","Status"
"admin.ui.addr.next","Weiter"
"admin.ui.addr.page","Seite {page} / {total}"
"admin.ui.addr.prev","Zurück"
"admin.ui.addr.protected","Passwortgeschützt"
"admin.ui.addr.protectedHint","Zusätzliche Sicherheit an"
"admin.ui.addr.searchPlaceholder","E-Mail-Adresse suchen..."
"admin.ui.addr.showingRange","Zeige {from}-{to} von {total} Adressen"
"admin.ui.addr.sortDomain","Domain"
"admin.ui.addr.sortLastMail","Letzte Aktivität"
"admin.ui.addr.sortNewest","Sortierung: Neueste"
"admin.ui.addr.sortOldest","Sortierung: Älteste"
"admin.ui.addr.sortUsage","Nutzungsanzahl"
"admin.ui.addr.total","Adressen gesamt"
"admin.ui.addr.totalHint","Alle Postfacheinträge"
"admin.ui.bulk.accessOff","Aus"
"admin.ui.bulk.accessOn","An"
"admin.ui.bulk.activePool","Aktive Pools"
"admin.ui.bulk.activePoolHint","Präfix-Pools verknüpft mit Benutzern"
"admin.ui.bulk.authorizedUsers","Autorisierte Benutzer"
"admin.ui.bulk.authorizedUsersHint","Nur Pro und Pro+"
"admin.ui.bulk.colAccess","Zugriff"
"admin.ui.bulk.colAddr","Adressen"
"admin.ui.bulk.colLastGen","Letzte Generierung"
"admin.ui.bulk.colOwner","Besitzer"
"admin.ui.bulk.colPackage","Paket"
"admin.ui.bulk.colPool","Pool"
"admin.ui.bulk.emptySubtitle","Pro/Pro+-Benutzer, die Sie autorisieren, können hier Pools erstellen."
"admin.ui.bulk.emptyTitle","Keine Massen-Pools gefunden"
"admin.ui.bulk.generatedAddr","Generierte Adressen"
"admin.ui.bulk.generatedAddrHint","Im normalen Paketkontingent enthalten"
"admin.ui.bulk.pools","Massen-Pools ({count})"
"admin.ui.bulk.searchPlaceholder","Benutzer, Präfix oder Domain suchen"
"admin.ui.dash.activityEmptySubtitle","Neue Aktionen werden hier angezeigt."
"admin.ui.dash.activityEmptyTitle","Noch keine Aktivität"
"admin.ui.dash.colAction","Aktion"
"admin.ui.dash.colAddress","Adressen"
"admin.ui.dash.colCreated","Erstellt"
"admin.ui.dash.colRecipient","Empfänger"
"admin.ui.dash.colStatus","Status"
"admin.ui.dash.domainEmptySubtitle","Fügen Sie eine neue Domain über die Schnellaktion oben hinzu."
"admin.ui.dash.domainEmptyTitle","Noch keine Domains hinzugefügt"
"admin.ui.dash.domainMgmt","Domain-Verwaltung"
"admin.ui.dash.expiredAddr","Abgelaufene Adressen"
"admin.ui.dash.inactiveUsers","Inaktive Benutzer"
"admin.ui.dash.mailMix","E-Mail-Verteilung"
"admin.ui.dash.mailsEmptySubtitle","Neue Nachrichten werden hier aufgelistet, wenn sie eintreffen."
"admin.ui.dash.mailsEmptyTitle","Noch keine E-Mails"
"admin.ui.dash.manageRequests","Anfragen verwalten"
"admin.ui.dash.mixEmptySubtitle","Das Kreisdiagramm füllt sich, wenn E-Mails eintreffen."
"admin.ui.dash.mixEmptyTitle","Keine Verteilungsdaten"
"admin.ui.dash.opsSummary","Ablaufübersicht"
"admin.ui.dash.pendingPro","Ausstehende Pro-Anfrage"
"admin.ui.dash.protectedAddr","Passwortgeschützte Adressen"
"admin.ui.dash.recentActivity","Letzte Aktivität"
"admin.ui.dash.recentMails","Letzte E-Mails"
"admin.ui.dash.security","Sicherheit & Bereinigung"
"admin.ui.dash.systemStatus","Systemstatus"
"admin.ui.dash.tagIncoming","Eingehend"
"admin.ui.dash.traffic","E-Mail-Verkehr"
"admin.ui.dash.trafficEmptySubtitle","Verkehr wird hier angezeigt, wenn E-Mails eintreffen."
"admin.ui.dash.trafficEmptyTitle","Keine Daten für Diagramm"
"admin.ui.dash.viewAll","Alle anzeigen"
"admin.ui.dash.viewAllMails","Alle E-Mails anzeigen"
"admin.ui.dnsModal.aRecordCopied","A-Eintrag kopiert"
"admin.ui.dnsModal.addLabel","Hinzufügen"
"admin.ui.dnsModal.close","Schließen"
"admin.ui.dnsModal.colAction","Aktion"
"admin.ui.dnsModal.colHost","Host"
"admin.ui.dnsModal.colType","Typ"
"admin.ui.dnsModal.colValue","Wert"
"admin.ui.dnsModal.copy","Kopieren"
"admin.ui.dnsModal.copyAll","Alle kopieren"
"admin.ui.dnsModal.copyAllValues","Alle Werte kopieren"
"admin.ui.dnsModal.copyDomainName","Domainnamen kopieren"
"admin.ui.dnsModal.dnsRecords","DNS-Einträge"
"admin.ui.dnsModal.domainDesc","Die für Ihre ausgewählte Domain erforderlichen DNS-Einträge werden unten angezeigt."
"admin.ui.dnsModal.domainName","Domainname"
"admin.ui.dnsModal.domainNameCopied","Domainname kopiert"
"admin.ui.dnsModal.howToBody","Gehen Sie zum DNS-Panel Ihrer Domain und fügen Sie die obigen Einträge vollständig hinzu."
"admin.ui.dnsModal.howToTitle","Wie verwenden?"
"admin.ui.dnsModal.mxRecordCopied","MX-Eintrag kopiert"
"admin.ui.dnsModal.propagationBody","DNS-Änderungen werden normalerweise innerhalb von 5-60 Minuten propagiert."
"admin.ui.dnsModal.propagationTitle","Propagierungszeit"
"admin.ui.dnsModal.recordStatus","Eintragsstatus"
"admin.ui.dnsModal.refreshVerify","Verifizierung aktualisieren"
"admin.ui.dnsModal.serverIp","Server-IP"
"admin.ui.dnsModal.serverIpCopied","Server-IP kopiert"
"admin.ui.dnsModal.serverIpDesc","Der gesamte E-Mail-Verkehr wird über diese IP-Adresse geleitet."
"admin.ui.dnsModal.subtitle","Fügen Sie die untenstehenden DNS-Einträge für Ihre Domain hinzu."
"admin.ui.dnsModal.title","DNS-Eintrag-Einrichtung"
"admin.ui.dnsModal.txtRecordCopied","TXT-Eintrag kopiert"
"admin.ui.dnsModal.verifyBody","Sie können die Verifizierung aktualisieren, nachdem die Einträge hinzugefügt wurden."
"admin.ui.dnsModal.verifyTitle","Verifizierung"
"admin.ui.dnsModal.wildcardCopied","Wildcard-Subdomain-DNS-Einträge kopiert"
"admin.ui.dnsModal.wildcardDesc","Fügen Sie die untenstehenden DNS-Einträge für Subdomain-Unterstützung hinzu. Mit diesen Einträgen funktionieren alle Subdomains wie *.domain.com automatisch."
"admin.ui.dnsModal.wildcardNote","Hinweis:"
"admin.ui.dnsModal.wildcardNoteBody","Alle Subdomains funktionieren automatisch. Benutzer können eine E-Mail-Adresse erstellen, indem sie eine beliebige Subdomain auswählen."
"admin.ui.dnsModal.wildcardTitle","Wildcard-Subdomain-DNS-Einträge"
"admin.ui.domains.activate","Aktivieren"
"admin.ui.domains.active","Aktiv"
"admin.ui.domains.activeAddr","{count} aktive Adressen"
"admin.ui.domains.activeTotal","{active} aktiv / {total} gesamt"
"admin.ui.domains.add","Hinzufügen"
"admin.ui.domains.addNew","Domain hinzufügen"
"admin.ui.domains.addrUnit","{count} Adressen"
"admin.ui.domains.cardSubtitle","Verwalten Sie die Root-Domains im System und bearbeiten Sie Subdomains über ein einzelnes Panel."
"admin.ui.domains.closeForm","Formular schließen"
"admin.ui.domains.collapse","Einklappen"
"admin.ui.domains.copy","Kopieren"
"admin.ui.domains.createdAt","Erstellt am"
"admin.ui.domains.deactivate","Deaktivieren"
"admin.ui.domains.delete","Löschen"
"admin.ui.domains.docs","Domain-Doku"
"admin.ui.domains.edit","Bearbeiten"
"admin.ui.domains.emptySubtitle","Beginnen Sie, indem Sie eine neue Domain hinzufügen."
"admin.ui.domains.emptyTitle","Keine Domains"
"admin.ui.domains.expand","Ausklappen"
"admin.ui.domains.inactive","Inaktiv"
"admin.ui.domains.loadingSubdomains","Subdomains werden geladen..."
"admin.ui.domains.mxRecord","MX-Eintrag"
"admin.ui.domains.noSubSubtitle","Verwenden Sie das Feld oben, um die erste Subdomain für diese Root-Domain zu erstellen."
"admin.ui.domains.noSubTitle","Noch keine Subdomains hinzugefügt"
"admin.ui.domains.refresh","Aktualisieren"
"admin.ui.domains.save","Speichern"
"admin.ui.domains.serverIp","Server-IP"
"admin.ui.domains.subActive","{count} aktiv"
"admin.ui.domains.subExample","Beispiel: demo@{domain}"
"admin.ui.domains.subPlaceholder","Neue Subdomain hinzufügen (z.B. mail, gmail, temp)"
"admin.ui.domains.subSectionHint","Sie können Subdomains unter dieser Root-Domain erstellen und verwalten."
"admin.ui.domains.subdomainCopied","Subdomain kopiert"
"admin.ui.domains.subdomains","Subdomains"
"admin.ui.domains.title","Domain-Verwaltung"
"admin.ui.domains.totalActiveAddr","Aktive Adressen gesamt"
"admin.ui.domains.wildcardActive","Wildcard an"
"admin.ui.domains.wildcardEnabled","Aktiviert"
"admin.ui.domains.wildcardHint","Wenn aktiviert, können Subdomains wie *.domain.com erstellt werden"
"admin.ui.domains.wildcardOff","Wildcard aus"
"admin.ui.domains.wildcardRequired","Aktivieren Sie zuerst die Wildcard-Unterstützung, um Subdomains zu erstellen."
"admin.ui.domains.wildcardSupport","Wildcard-Unterstützung"
"admin.ui.domains.wildcardTitle","Wildcard-Subdomain-Unterstützung"
"admin.ui.editDomain.close","Schließen"
"admin.ui.editDomain.copy","Kopieren"
"admin.ui.editDomain.domain","Domain"
"admin.ui.editDomain.exampleBody","123.45.67.89"
"admin.ui.editDomain.exampleLabel","Beispiel:"
"admin.ui.editDomain.noteBody","Nur Ziffern und Punkte sind erlaubt."
"admin.ui.editDomain.noteLabel","Hinweis:"
"admin.ui.editDomain.save","Speichern"
"admin.ui.editDomain.serverIp","Server-IP"
"admin.ui.editDomain.subtitle","Aktualisieren Sie die IP-Adresse. Das System generiert A-, MX- und TXT-Werte automatisch neu."
"admin.ui.editDomain.title","Domain {domain} bearbeiten"
"admin.ui.editDomain.titleFallback","Domain bearbeiten"
"admin.ui.editDomain.wildcardHint","Wenn aktiviert, können Subdomains wie *.domain.com erstellt werden"
"admin.ui.editDomain.wildcardTitle","Wildcard-Subdomain-Unterstützung"
"admin.ui.emails.all","Alle E-Mails ({count})"
"admin.ui.emails.colAction","Aktion"
"admin.ui.emails.colDate","Datum"
"admin.ui.emails.colRecipient","Empfänger"
"admin.ui.emails.colSender","Absender"
"admin.ui.emails.colSubject","Betreff"
"admin.ui.emails.colTag","Tag"
"admin.ui.emails.copyOtp","OTP kopieren"
"admin.ui.emails.detail","E-Mail-Detail"
"admin.ui.emails.detailEmptySubtitle","Klicken Sie auf das Augensymbol in der Liste, um Details anzuzeigen."
"admin.ui.emails.detailEmptyTitle","E-Mail auswählen"
"admin.ui.emails.emptySubtitle","E-Mails werden hier aufgelistet, sobald das System empfängt."
"admin.ui.emails.emptyTitle","Noch keine E-Mails"
"admin.ui.emails.next","Weiter"
"admin.ui.emails.page","Seite {page}"
"admin.ui.emails.prev","Zurück"
"admin.ui.emails.tagAttached","Anhang"
"admin.ui.emails.tagNormal","Normal"
"admin.ui.requests.alreadyPro","Bereits Pro"
"admin.ui.requests.approve","Genehmigen"
"admin.ui.requests.approved","Genehmigt"
"admin.ui.requests.emptySubtitle","Neue Pro-Anfragen erscheinen hier."
"admin.ui.requests.emptyTitle","Keine ausstehenden Anfragen"
"admin.ui.requests.noMessage","Keine Nachricht hinterlassen."
